date,CE01ISSM,CE02SHSM,CE07SHSM,CP03ISSM,GA01SUMO,GI03FLMA
2015-03-05 21:00:00,NaN,NaN,NaN,NaN,NaN,34.9412
2015-03-05 22:00:00,NaN,NaN,NaN,NaN,NaN,34.9378
2015-03-05 23:00:00,NaN,NaN,NaN,NaN,NaN,34.9376
2015-03-06 00:00:00,NaN,NaN,NaN,NaN,NaN,34.932
2015-03-06 01:00:00,NaN,NaN,NaN,NaN,NaN,34.9349
2015-03-06 02:00:00,NaN,NaN,NaN,NaN,NaN,34.9336
2015-03-06 03:00:00,NaN,NaN,NaN,NaN,NaN,34.9323
2015-03-06 04:00:00,NaN,NaN,NaN,NaN,NaN,34.9303
2015-03-06 05:00:00,NaN,NaN,NaN,NaN,NaN,34.9307
2015-03-06 06:00:00,NaN,NaN,NaN,NaN,NaN,34.9179
2015-03-06 07:00:00,NaN,NaN,NaN,NaN,NaN,34.9182
2015-03-06 08:00:00,NaN,NaN,NaN,NaN,NaN,34.9236
2015-03-06 09:00:00,NaN,NaN,NaN,NaN,NaN,34.9232
2015-03-06 10:00:00,NaN,NaN,NaN,NaN,NaN,34.9256
2015-03-06 11:00:00,NaN,NaN,NaN,NaN,NaN,34.9282
2015-03-06 12:00:00,NaN,NaN,NaN,NaN,NaN,34.929
2015-03-06 13:00:00,NaN,NaN,NaN,NaN,NaN,34.9305
2015-03-06 14:00:00,NaN,NaN,NaN,NaN,NaN,34.9297
2015-03-06 15:00:00,NaN,NaN,NaN,NaN,NaN,34.9301
2015-03-06 16:00:00,NaN,NaN,NaN,NaN,NaN,34.9302
2015-03-06 17:00:00,NaN,NaN,NaN,NaN,NaN,34.9286
2015-03-06 18:00:00,NaN,NaN,NaN,NaN,NaN,34.9292
2015-03-06 19:00:00,NaN,NaN,NaN,NaN,NaN,34.9281
2015-03-06 20:00:00,NaN,NaN,NaN,NaN,NaN,34.9282
2015-03-06 21:00:00,NaN,NaN,NaN,NaN,NaN,34.9268
2015-03-06 22:00:00,NaN,NaN,NaN,NaN,NaN,34.9252
2015-03-06 23:00:00,NaN,NaN,NaN,NaN,NaN,34.9241
2015-03-07 00:00:00,NaN,NaN,NaN,NaN,NaN,34.9327
2015-03-07 01:00:00,NaN,NaN,NaN,NaN,NaN,34.9326
2015-03-07 02:00:00,NaN,NaN,NaN,NaN,NaN,34.9318
2015-03-07 03:00:00,NaN,NaN,NaN,NaN,NaN,34.9318
2015-03-07 04:00:00,NaN,NaN,NaN,NaN,NaN,34.9304
2015-03-07 05:00:00,NaN,NaN,NaN,NaN,NaN,34.9269
2015-03-07 06:00:00,NaN,NaN,NaN,NaN,NaN,34.9274
2015-03-07 07:00:00,NaN,NaN,NaN,NaN,NaN,34.9298
2015-03-07 08:00:00,NaN,NaN,NaN,NaN,NaN,34.9264
2015-03-07 09:00:00,NaN,NaN,NaN,NaN,NaN,34.9212
2015-03-07 10:00:00,NaN,NaN,NaN,NaN,NaN,34.921
2015-03-07 11:00:00,NaN,NaN,NaN,NaN,NaN,34.9194
2015-03-07 12:00:00,NaN,NaN,NaN,NaN,NaN,34.9186
2015-03-07 13:00:00,NaN,NaN,NaN,NaN,NaN,34.9188
