date,pressure,pH,index
2016-02-04 07:00:00,197.485,7.95839,35
2016-02-04 08:00:00,77.6251,7.92529,35
2016-02-04 09:00:00,197.094,7.84835,35
2016-02-04 10:00:00,150.65,7.88625,35
2016-02-04 11:00:00,177.727,7.87368,35
2016-02-04 12:00:00,197.729,7.87006,35
2016-02-04 13:00:00,62.9168,7.83713,35
2016-02-04 14:00:00,191.602,7.81004,35
2016-02-04 15:00:00,198.111,7.88286,35
2016-02-04 16:00:00,198.158,7.7824,35
2016-02-04 17:00:00,66.7964,7.82545,35
2016-02-04 18:00:00,198.113,7.84138,35
2016-02-04 19:00:00,63.471,7.86486,35
2016-02-04 20:00:00,197.231,7.85729,35
2016-02-04 21:00:00,91.1578,7.85169,35
2016-02-04 22:00:00,196.05,7.74547,35
2016-02-04 23:00:00,180.515,8.05193,35
2016-02-05 00:00:00,26.6208,7.81115,36
2016-02-05 01:00:00,115.509,7.95535,36
2016-02-05 02:00:00,196.689,7.98186,36
2016-02-05 03:00:00,150.519,7.82992,36
2016-02-05 04:00:00,143.821,7.86963,36
2016-02-05 05:00:00,197.692,7.81218,36
2016-02-05 06:00:00,36.971,7.86616,36
2016-02-05 07:00:00,197.556,7.97532,36
2016-02-05 08:00:00,77.3509,7.80101,36
2016-02-05 09:00:00,197.145,7.76968,36
2016-02-05 10:00:00,150.559,7.97326,36
2016-02-05 11:00:00,88.4715,7.87844,36
2016-02-05 12:00:00,197.21,7.84226,36
2016-02-05 13:00:00,62.7826,7.85478,36
2016-02-05 14:00:00,87.1265,7.98339,36
2016-02-05 15:00:00,197.915,8.03308,36
2016-02-05 16:00:00,198.407,8.01895,36
2016-02-05 17:00:00,23.2186,7.8756,36
2016-02-05 18:00:00,198.306,7.8328,36
2016-02-05 19:00:00,63.8547,7.87343,36
2016-02-05 20:00:00,197.481,7.82616,36
2016-02-05 21:00:00,90.7786,7.94435,36
2016-02-05 22:00:00,196.497,7.97808,36
2016-02-05 23:00:00,180.804,7.84552,36
2016-02-06 00:00:00,59.7695,7.93884,37
2016-02-06 01:00:00,182.898,7.80309,37
2016-02-06 02:00:00,196.215,8.03856,37
2016-02-06 03:00:00,150.287,7.96089,37
2016-02-06 04:00:00,88.7843,7.9796,37
2016-02-06 05:00:00,197.713,7.89221,37
2016-02-06 06:00:00,36.3173,7.86974,37
2016-02-06 07:00:00,197.914,7.85356,37
2016-02-06 08:00:00,77.6042,7.84224,37
2016-02-06 09:00:00,197.26,7.98412,37
2016-02-06 10:00:00,150.808,7.96036,37
2016-02-06 11:00:00,88.6444,7.83402,37
2016-02-06 12:00:00,197.126,7.82281,37
2016-02-06 13:00:00,62.5471,7.89963,37
2016-02-06 14:00:00,86.7534,7.92242,37
2016-02-06 15:00:00,197.822,7.87162,37
2016-02-06 16:00:00,197.633,7.75774,37
2016-02-06 17:00:00,182.252,7.89767,37
2016-02-06 18:00:00,182.332,7.92317,37
2016-02-06 19:00:00,182.234,7.98865,37
2016-02-06 20:00:00,181.94,7.91042,37
2016-02-06 21:00:00,181.511,7.90317,37
2016-02-06 22:00:00,180.987,7.97874,37
2016-02-06 23:00:00,180.494,7.97573,37
2016-02-07 00:00:00,180.051,7.77751,38
2016-02-07 01:00:00,179.834,7.87196,38
2016-02-07 02:00:00,179.894,7.73214,38
2016-02-07 03:00:00,180.167,7.86958,38
2016-02-07 04:00:00,180.687,7.99584,38
2016-02-07 05:00:00,181.219,7.79466,38
2016-02-07 06:00:00,181.668,7.97931,38
2016-02-07 07:00:00,181.873,7.77491,38
2016-02-07 08:00:00,181.821,7.89389,38
2016-02-07 09:00:00,181.629,8.00418,38
2016-02-07 10:00:00,181.316,7.84586,38
2016-02-07 11:00:00,180.961,7.96738,38
2016-02-07 12:00:00,180.76,7.89947,38
2016-02-07 13:00:00,180.762,7.97966,38
2016-02-07 14:00:00,180.906,7.84704,38
2016-02-07 15:00:00,181.23,7.89066,38
2016-02-07 16:00:00,181.688,8.00154,38
2016-02-07 17:00:00,182.155,7.99303,38
2016-02-07 18:00:00,182.465,8.05504,38
2016-02-07 19:00:00,182.516,7.89063,38
2016-02-07 20:00:00,182.276,7.89213,38
2016-02-07 21:00:00,181.814,7.89868,38
2016-02-07 22:00:00,181.266,7.86672,38
2016-02-07 23:00:00,180.772,8.00762,38
2016-02-08 00:00:00,180.352,7.88519,39
2016-02-08 01:00:00,179.903,7.98581,39
2016-02-08 02:00:00,179.748,7.87295,39
2016-02-08 03:00:00,179.907,7.871,39
2016-02-08 04:00:00,180.321,7.98571,39
2016-02-08 05:00:00,180.967,8.01939,39
2016-02-08 06:00:00,181.469,7.83673,39
2016-02-08 07:00:00,181.907,7.81303,39
2016-02-08 08:00:00,182.062,7.98082,39
2016-02-08 09:00:00,181.973,7.81747,39
2016-02-08 10:00:00,181.692,7.89073,39
2016-02-08 11:00:00,181.298,8.02799,39
2016-02-08 12:00:00,180.753,7.87154,39
2016-02-08 13:00:00,180.628,7.94651,39
2016-02-08 14:00:00,180.638,7.87927,39
2016-02-08 15:00:00,180.916,7.87103,39
2016-02-08 16:00:00,181.381,7.89162,39
2016-02-08 17:00:00,181.863,7.8887,39
2016-02-08 18:00:00,182.272,7.88488,39
2016-02-08 19:00:00,182.63,7.98186,39
2016-02-08 20:00:00,182.488,7.97358,39
2016-02-08 21:00:00,182.104,8.03409,39
2016-02-08 22:00:00,181.699,7.87919,39
2016-02-08 23:00:00,181.066,8.00814,39
2016-02-09 00:00:00,180.601,7.86012,40
2016-02-09 01:00:00,180.107,7.85328,40
