date,pCO2,pH
2015-12-27 07:00:00,323.234,8.0772
2015-12-27 08:00:00,323.651,8.06938
2015-12-27 09:00:00,325.251,8.05929
2015-12-27 10:00:00,325.053,8.09983
2015-12-27 11:00:00,324.953,8.05958
2015-12-27 12:00:00,325.385,8.06442
2015-12-27 13:00:00,327.808,8.06017
2015-12-27 14:00:00,323.707,8.05743
2015-12-27 15:00:00,322.056,8.07469
2015-12-27 16:00:00,324.248,8.0811
2015-12-27 17:00:00,325.369,8.07275
2015-12-27 18:00:00,325.21,8.07679
2015-12-27 19:00:00,321.379,8.07884
2015-12-27 20:00:00,321.27,8.07772
2015-12-27 21:00:00,322.142,8.0778
2015-12-27 22:00:00,327.186,8.08173
2015-12-27 23:00:00,323.88,8.06829
2015-12-28 00:00:00,322.514,8.05968
2015-12-28 01:00:00,322.252,8.04488
2015-12-28 02:00:00,323.373,8.05682
2015-12-28 03:00:00,322.306,8.0641
2015-12-28 04:00:00,322.586,8.07159
2015-12-28 05:00:00,321.816,8.09345
2015-12-28 06:00:00,322.24,8.07401
2015-12-28 07:00:00,325.596,8.07311
2015-12-28 08:00:00,323.279,8.0718
2015-12-28 09:00:00,320.995,8.07073
2015-12-28 10:00:00,322.118,8.07843
2015-12-28 11:00:00,322.709,8.05815
2015-12-28 12:00:00,323.546,8.09129
2015-12-28 13:00:00,325.102,8.06845
2015-12-28 14:00:00,324.068,8.07609
2015-12-28 15:00:00,325.605,8.03941
2015-12-28 16:00:00,327.699,8.07347
2015-12-28 17:00:00,323.822,8.05381
2015-12-28 18:00:00,323.438,8.07155
2015-12-28 19:00:00,322.936,8.07562
2015-12-28 20:00:00,323.35,8.078
2015-12-28 21:00:00,322.445,8.07785
2015-12-28 23:00:00,318.181,8.07714
2015-12-29 00:00:00,322.111,8.07367
2015-12-29 01:00:00,322.051,8.07312
2015-12-29 02:00:00,325.977,8.07456
2015-12-29 03:00:00,321.677,8.07766
2015-12-29 04:00:00,321.915,8.07908
2015-12-29 05:00:00,320.352,8.05995
2015-12-29 06:00:00,321.354,8.06204
2015-12-29 07:00:00,321.394,8.06228
2015-12-29 08:00:00,320.177,8.06346
2015-12-29 09:00:00,319.333,8.05631
2015-12-29 10:00:00,320.01,8.05818
2015-12-29 11:00:00,322.416,8.06365
2015-12-29 12:00:00,319.333,8.07956
2015-12-29 13:00:00,317.83,8.07691
2015-12-29 14:00:00,319.333,8.08
2015-12-29 15:00:00,319.264,8.07145
2015-12-29 16:00:00,318.645,8.03517
2015-12-29 17:00:00,317.87,8.06195
2015-12-29 18:00:00,320.421,8.06687
2015-12-29 19:00:00,320.529,8.06044
2015-12-29 20:00:00,322.151,8.06217
