date,pressure,temperature,salinity,index,site
2015-06-02 00:04:21,98,12.3749,35.45,153,CP02PMCI
2015-06-02 00:04:21,99,12.4489,35.473,153,CP02PMCI
2015-06-02 00:04:21,100,12.4399,35.4751,153,CP02PMCI
2015-06-02 00:04:21,101,12.4273,35.4733,153,CP02PMCI
2015-06-03 00:04:30,27,13.0951,34.8599,154,CP02PMCI
2015-06-03 00:04:30,28,12.8386,34.8387,154,CP02PMCI
2015-06-03 00:04:30,29,12.4084,34.8324,154,CP02PMCI
2015-06-03 00:04:30,30,12.2672,34.8676,154,CP02PMCI
2015-06-03 00:04:30,31,12.4067,34.9138,154,CP02PMCI
2015-06-03 00:04:30,32,12.45,34.9498,154,CP02PMCI
2015-06-03 00:04:30,33,12.4252,34.9923,154,CP02PMCI
2015-06-03 00:04:30,34,12.6956,35.0523,154,CP02PMCI
2015-06-03 00:04:30,35,12.8648,35.0991,154,CP02PMCI
2015-06-03 00:04:30,36,12.9503,35.1166,154,CP02PMCI
2015-06-03 00:04:30,37,12.9847,35.1262,154,CP02PMCI
2015-06-03 00:04:30,38,12.879,35.1307,154,CP02PMCI
2015-06-03 00:04:30,39,12.8576,35.1355,154,CP02PMCI
2015-06-03 00:04:30,40,12.78,35.1646,154,CP02PMCI
2015-06-03 00:04:30,41,12.8071,35.1812,154,CP02PMCI
2015-06-03 00:04:30,42,12.7395,35.1784,154,CP02PMCI
2015-06-03 00:04:30,43,12.7584,35.1933,154,CP02PMCI
2015-06-03 00:04:30,44,12.9057,35.2517,154,CP02PMCI
2015-06-03 00:04:30,45,12.9571,35.2685,154,CP02PMCI
2015-06-03 00:04:30,46,13.0087,35.2787,154,CP02PMCI
2015-06-03 00:04:30,47,12.9954,35.2778,154,CP02PMCI
2015-06-03 00:04:30,48,12.9855,35.289,154,CP02PMCI
2015-06-03 00:04:30,49,13.0023,35.303,154,CP02PMCI
2015-06-03 00:04:30,50,13.0333,35.3111,154,CP02PMCI
2015-06-03 00:04:30,51,13.0292,35.3049,154,CP02PMCI
2015-06-03 00:04:30,52,12.8676,35.2842,154,CP02PMCI
2015-06-03 00:04:30,53,12.7893,35.2763,154,CP02PMCI
2015-06-03 00:04:30,54,12.7829,35.2734,154,CP02PMCI
2015-06-03 00:04:30,55,12.7801,35.2718,154,CP02PMCI
2015-06-03 00:04:30,56,12.7822,35.2702,154,CP02PMCI
2015-06-03 00:04:30,57,12.7938,35.2699,154,CP02PMCI
2015-06-03 00:04:30,58,12.8045,35.2654,154,CP02PMCI
2015-06-03 00:04:30,59,12.5439,35.2376,154,CP02PMCI
2015-06-03 00:04:30,60,12.4311,35.2234,154,CP02PMCI
2015-06-03 00:04:30,61,12.4139,35.2239,154,CP02PMCI
2015-06-03 00:04:30,62,12.4051,35.2217,154,CP02PMCI
2015-06-03 00:04:30,63,12.3078,35.215,154,CP02PMCI
2015-06-03 00:04:30,64,12.2989,35.2174,154,CP02PMCI
2015-06-03 00:04:30,65,12.3045,35.2231,154,CP02PMCI
2015-06-03 00:04:30,66,12.3078,35.2318,154,CP02PMCI
2015-06-03 00:04:30,67,12.3604,35.2519,154,CP02PMCI
2015-06-03 00:04:30,68,12.5411,35.3024,154,CP02PMCI
2015-06-03 00:04:30,69,12.9085,35.3888,154,CP02PMCI
2015-06-03 00:04:30,70,12.9034,35.3906,154,CP02PMCI
2015-06-03 00:04:30,71,12.9072,35.3945,154,CP02PMCI
2015-06-03 00:04:30,72,12.9126,35.4004,154,CP02PMCI
2015-06-03 00:04:30,73,12.9068,35.4078,154,CP02PMCI
2015-06-03 00:04:30,74,12.9682,35.4476,154,CP02PMCI
2015-06-03 00:04:30,75,13.3779,35.568,154,CP02PMCI
2015-06-03 00:04:30,76,13.6752,35.635,154,CP02PMCI
2015-06-03 00:04:30,77,13.7967,35.6718,154,CP02PMCI
2015-06-03 00:04:30,78,13.7857,35.6673,154,CP02PMCI
2015-06-03 00:04:30,79,13.6652,35.6524,154,CP02PMCI
2015-06-03 00:04:30,80,13.6353,35.6489,154,CP02PMCI
2015-06-03 00:04:30,81,13.644,35.6517,154,CP02PMCI
2015-06-03 00:04:30,82,13.6441,35.6525,154,CP02PMCI
2015-06-03 00:04:30,83,13.6198,35.6512,154,CP02PMCI
2015-06-03 00:04:30,84,13.5944,35.6475,154,CP02PMCI
2015-06-03 00:04:30,85,13.5982,35.6488,154,CP02PMCI
2015-06-03 00:04:30,86,13.614,35.6552,154,CP02PMCI
2015-06-03 00:04:30,87,13.5971,35.6511,154,CP02PMCI
2015-06-03 00:04:30,88,13.5474,35.6425,154,CP02PMCI
2015-06-03 00:04:30,89,13.5084,35.6353,154,CP02PMCI
2015-06-03 00:04:30,90,13.3968,35.6254,154,CP02PMCI
2015-06-03 00:04:30,91,13.4232,35.6362,154,CP02PMCI
2015-06-03 00:04:30,92,13.3876,35.6347,154,CP02PMCI
2015-06-03 00:04:30,93,13.3399,35.6314,154,CP02PMCI
2015-06-03 00:04:30,94,13.3084,35.6275,154,CP02PMCI
2015-06-03 00:04:30,95,13.2444,35.6238,154,CP02PMCI
2015-06-03 00:04:30,96,13.2423,35.6252,154,CP02PMCI
2015-06-03 00:04:30,97,13.1904,35.6256,154,CP02PMCI
2015-06-03 00:04:30,98,13.2315,35.6445,154,CP02PMCI
2015-06-03 00:04:30,99,13.2103,35.643,154,CP02PMCI
2015-06-03 00:04:30,100,13.1921,35.6396,154,CP02PMCI
2015-06-03 00:04:30,101,13.1402,35.6333,154,CP02PMCI
2015-06-04 00:04:30,27,15.6828,35.5597,155,CP02PMCI
2015-06-04 00:04:30,28,15.6368,35.566,155,CP02PMCI
2015-06-04 00:04:30,29,15.6467,35.5731,155,CP02PMCI
2015-06-04 00:04:30,30,15.6058,35.6129,155,CP02PMCI
2015-06-04 00:04:30,31,15.4563,35.6018,155,CP02PMCI
2015-06-04 00:04:30,32,15.3807,35.5962,155,CP02PMCI
2015-06-04 00:04:30,33,15.2204,35.5843,155,CP02PMCI
2015-06-04 00:04:30,34,15.2026,35.5822,155,CP02PMCI
2015-06-04 00:04:30,35,15.1843,35.5771,155,CP02PMCI
2015-06-04 00:04:30,36,15.1311,35.5705,155,CP02PMCI
2015-06-04 00:04:30,37,15.0378,35.5608,155,CP02PMCI
2015-06-04 00:04:30,38,14.9767,35.5496,155,CP02PMCI
2015-06-04 00:04:30,39,14.722,35.5313,155,CP02PMCI
2015-06-04 00:04:30,40,14.5694,35.5109,155,CP02PMCI
2015-06-04 00:04:30,41,14.3972,35.4933,155,CP02PMCI
2015-06-04 00:04:30,42,14.225,35.4868,155,CP02PMCI
2015-06-04 00:04:30,43,14.1568,35.4993,155,CP02PMCI
2015-06-04 00:04:30,44,14.1028,35.5036,155,CP02PMCI
2015-06-04 00:04:30,45,14.0409,35.5128,155,CP02PMCI
2015-06-04 00:04:30,46,14.0107,35.5069,155,CP02PMCI
2015-06-04 00:04:30,47,14.0539,35.5242,155,CP02PMCI
2015-06-04 00:04:30,48,14.072,35.5298,155,CP02PMCI
2015-06-04 00:04:30,49,14.0727,35.532,155,CP02PMCI
2015-06-04 00:04:30,50,14.0724,35.5334,155,CP02PMCI
