date,Coastal Endurance,Coastal Pioneer,Global Irminger Sea,Global Station Papa
2015-09-10 06:00:00,2.6136,1.2221,1.4883,1.1495
2015-09-10 07:00:00,2.8435,1.1858,1.6698,1.1253
2015-09-10 08:00:00,2.7346,1.1979,1.4399,1.1737
2015-09-10 09:00:00,2.8193,1.1858,1.452,1.3431
2015-09-10 10:00:00,3.0129,1.1616,1.6577,1.3673
2015-09-10 11:00:00,3.1823,1.2221,1.4399,1.1374
2015-09-10 12:00:00,3.2307,1.21,1.7303,1.1132
2015-09-10 13:00:00,4.0051,1.2584,1.7545,1.089
2015-09-10 14:00:00,4.3076,1.2705,1.7666,0.9559
2015-09-10 15:00:00,4.5617,1.2221,1.7424,0.9196
2015-09-10 16:00:00,3.9083,1.2584,1.9602,0.9922
2015-09-10 17:00:00,4.477,1.1979,1.815,1.2463
2015-09-10 18:00:00,2.9524,1.1979,1.8997,0.8349
2015-09-10 19:00:00,4.598,1.2221,1.5488,0.8833
2015-09-10 20:00:00,3.8357,1.2463,1.9723,1.1616
2015-09-10 21:00:00,3.9446,1.2463,2.0086,1.2584
2015-09-10 22:00:00,3.7026,1.2221,1.7424,1.2705
2015-09-10 23:00:00,4.0898,1.2342,1.7908,1.1011
2015-09-11 00:00:00,3.9809,1.2221,1.8029,1.5609
2015-09-11 01:00:00,3.4606,1.2705,1.8271,1.1858
2015-09-11 02:00:00,3.2549,1.2342,1.7545,1.0285
2015-09-11 03:00:00,3.0855,1.21,1.9118,1.0406
2015-09-11 04:00:00,3.8115,1.2463,1.9481,1.0043
2015-09-11 05:00:00,3.5574,1.2463,1.815,1.3068
2015-09-11 06:00:00,2.9766,1.2584,1.5972,1.3068
2015-09-11 07:00:00,2.9161,1.331,1.7666,1.4036
2015-09-11 08:00:00,3.025,1.2342,1.8876,1.2342
2015-09-11 09:00:00,3.0492,1.1737,1.694,1.1132
2015-09-11 10:00:00,3.1339,1.1979,1.694,1.2584
2015-09-11 11:00:00,2.9887,1.2221,1.8755,1.2463
2015-09-11 12:00:00,2.6378,1.21,1.6335,0.7623
2015-09-11 13:00:00,2.5652,1.3189,1.694,0.9801
2015-09-11 14:00:00,2.4563,1.2584,1.7666,0.9438
2015-09-11 15:00:00,9.7042,1.3189,1.5367,1.0406
2015-09-11 16:00:00,7.7319,1.3189,1.9965,1.0164
2015-09-11 17:00:00,3.5453,1.2826,1.9118,0.9317
2015-09-11 18:00:00,2.7588,1.3431,1.7303,0.9438
2015-09-11 19:00:00,2.2143,1.3794,1.573,1.1011
2015-09-11 20:00:00,2.3353,1.4278,1.4157,1.3068
2015-09-11 21:00:00,2.5168,1.3673,1.21,0.8712
2015-09-11 22:00:00,2.541,1.3673,1.3431,2.9645
2015-09-11 23:00:00,2.3474,1.331,0.9438,1.089
2015-09-12 00:00:00,5.2635,1.3189,1.1011,1.1132
2015-09-12 01:00:00,3.7026,1.3068,1.1858,1.0648
2015-09-12 02:00:00,2.2506,1.3068,1.7182,0.7381
2015-09-12 03:00:00,2.2143,1.3068,1.4641,1.1253
2015-09-12 04:00:00,2.9645,1.2826,1.4036,49.3922
2015-09-12 05:00:00,2.178,1.2947,1.1132,1.2584
2015-09-12 06:00:00,2.3353,1.2826,0.968,1.3552
2015-09-12 07:00:00,2.541,1.2826,1.1616,1.5972
2015-09-12 08:00:00,2.5773,1.2826,0.6655,1.6093
2015-09-12 09:00:00,2.5047,1.3189,1.0406,1.1132
2015-09-12 10:00:00,2.5773,1.2947,0.9317,1.1495
2015-09-12 11:00:00,2.7467,1.3068,1.089,1.1253
2015-09-12 12:00:00,2.5047,1.3068,1.0648,1.6577
2015-09-12 13:00:00,2.7346,1.2947,1.0527,1.5004
2015-09-12 14:00:00,2.783,1.2826,1.1495,1.3552
2015-09-12 15:00:00,2.3474,1.3068,1.0043,1.331
2015-09-12 16:00:00,2.5652,1.3431,0.9922,1.4883
2015-09-12 17:00:00,2.5047,1.3794,1.0164,1.3552
2015-09-12 18:00:00,2.541,1.2947,1.0769,1.1737
2015-09-12 19:00:00,3.4485,1.3673,1.0406,1.5125
2015-09-12 20:00:00,3.4848,1.3189,0.9075,1.5972
2015-09-12 21:00:00,3.7389,1.3431,1.0285,1.6335
2015-09-12 22:00:00,4.8521,1.331,0.8833,1.815
2015-09-12 23:00:00,3.0129,1.2705,0.7139,8.1433
2015-09-13 00:00:00,2.7951,1.2584,0.9438,1.5972
2015-09-13 01:00:00,2.5531,1.2221,0.5929,1.1374
2015-09-13 02:00:00,2.662,1.2705,0.7744,6.9696
2015-09-13 03:00:00,2.904,1.2705,1.0043,1.3189
2015-09-13 04:00:00,3.7389,1.2705,0.9801,1.5246
2015-09-13 05:00:00,3.4485,1.2463,1.1495,1.5125
2015-09-13 06:00:00,3.4485,1.2584,0.968,1.7908
2015-09-13 07:00:00,3.267,1.2221,0.8833,1.6093
2015-09-13 08:00:00,3.7268,1.2463,0.9075,1.6456
2015-09-13 09:00:00,3.9688,1.2342,0.9559,1.1374
2015-09-13 10:00:00,3.993,1.2463,0.968,1.6819
2015-09-13 11:00:00,4.1382,1.3068,1.2463,1.8997
2015-09-13 12:00:00,4.0898,1.3068,1.2584,1.6577
2015-09-13 13:00:00,NaN,1.3431,1.4036,1.2705
2015-09-13 14:00:00,3.7147,1.3915,1.2584,1.5004
2015-09-13 15:00:00,4.3923,1.3189,1.2826,1.694
2015-09-13 16:00:00,4.8642,1.3794,1.1979,1.5367
2015-09-13 17:00:00,4.8642,1.331,1.3068,1.1616
2015-09-13 18:00:00,5.0215,1.3552,1.4883,1.1495
2015-09-13 19:00:00,5.0336,1.331,1.3552,1.1979
2015-09-13 20:00:00,5.3361,1.2947,1.5367,1.2584
2015-09-13 21:00:00,6.1105,1.3431,1.5609,1.452
2015-09-13 22:00:00,5.8564,1.331,1.331,1.8876
2015-09-13 23:00:00,6.0621,1.331,1.4157,1.2705
2015-09-14 00:00:00,7.3568,1.2705,1.331,1.5972
2015-09-14 01:00:00,5.566,1.2947,1.5125,1.6698
2015-09-14 02:00:00,5.6628,1.2705,1.5367,1.8029
2015-09-14 03:00:00,5.7475,1.2463,1.5488,1.4157
2015-09-14 04:00:00,5.7959,1.2705,1.4883,1.8513
2015-09-14 05:00:00,5.6749,1.2947,1.5246,1.7061
2015-09-14 06:00:00,5.5418,1.2947,1.7303,1.7424
2015-09-14 07:00:00,5.7959,1.2826,1.3673,1.7787
2015-09-14 08:00:00,5.8443,1.2826,1.3068,1.7424
2015-09-14 09:00:00,5.4329,1.3189,1.3431,1.6093
2015-09-14 10:00:00,5.2272,1.3068,1.5367,1.6456
2015-09-14 11:00:00,5.0941,1.3673,1.6698,1.5851
2015-09-14 12:00:00,5.4692,1.3673,1.5609,1.1132
2015-09-14 13:00:00,4.6585,1.3068,1.5367,1.2342
2015-09-14 14:00:00,5.5781,1.2947,1.5609,1.1979
2015-09-14 15:00:00,4.2108,1.2826,1.6335,1.089
2015-09-14 16:00:00,4.7916,1.3552,1.7061,1.1616
2015-09-14 17:00:00,5.8806,1.3431,1.7424,1.6214
2015-09-14 18:00:00,6.6066,1.3189,1.6214,1.7424
2015-09-14 19:00:00,6.776,1.3794,1.6577,1.4399
2015-09-14 20:00:00,9.0629,1.4641,1.6214,1.4278
2015-09-14 21:00:00,9.6437,1.4036,1.5246,1.452
2015-09-14 22:00:00,8.3732,1.452,1.8876,1.4157
2015-09-14 23:00:00,7.0664,1.4036,1.7787,1.4883
2015-09-15 00:00:00,10.5754,1.4278,1.8392,1.4762
2015-09-15 01:00:00,9.4017,1.4641,1.8271,1.3794
2015-09-15 02:00:00,13.8424,1.5367,1.7182,1.1737
2015-09-15 03:00:00,9.0024,1.4762,1.5851,1.4036
2015-09-15 04:00:00,5.9895,1.5246,1.5246,1.5246
2015-09-15 05:00:00,4.6948,1.4399,1.5367,1.7787
2015-09-15 06:00:00,4.7674,1.4157,1.5246,1.7061
2015-09-15 07:00:00,4.84,1.4157,1.4641,1.7787
2015-09-15 08:00:00,5.4692,1.4157,1.452,1.1495
2015-09-15 09:00:00,5.3845,1.4278,1.2705,1.6698
2015-09-15 10:00:00,6.1589,1.4036,1.3189,1.6456
2015-09-15 11:00:00,5.3724,1.452,1.2826,1.573
2015-09-15 12:00:00,5.5539,1.4157,1.3068,1.5367
2015-09-15 13:00:00,4.9852,1.3673,1.2826,1.5972
2015-09-15 14:00:00,6.1105,1.5246,1.3068,1.4278
2015-09-15 15:00:00,5.2635,1.3552,1.3068,1.3431
2015-09-15 16:00:00,6.1952,1.3189,1.3068,1.331
2015-09-15 17:00:00,5.9895,1.3431,1.2826,1.5609
2015-09-15 18:00:00,6.2194,1.3552,1.3915,1.452
2015-09-15 19:00:00,9.3896,NaN,1.3552,1.4278
2015-09-15 20:00:00,9.8736,NaN,1.3915,1.2463
2015-09-15 21:00:00,6.5703,NaN,1.4641,1.0527
2015-09-15 22:00:00,4.1866,NaN,1.4036,1.0043
2015-09-15 23:00:00,3.8357,NaN,1.3673,1.4157
2015-09-16 00:00:00,3.7994,NaN,1.4036,1.3431
2015-09-16 01:00:00,4.719,NaN,1.4036,1.8634
2015-09-16 02:00:00,6.7034,NaN,1.4157,1.8876
2015-09-16 03:00:00,7.5383,NaN,1.3794,1.7666
2015-09-16 04:00:00,6.0742,NaN,1.3794,1.4278
2015-09-16 05:00:00,7.2479,NaN,1.331,1.1374
2015-09-16 06:00:00,6.2678,NaN,1.3068,1.8029
2015-09-16 07:00:00,8.47,NaN,1.2947,1.9844
2015-09-16 08:00:00,5.8685,NaN,1.2826,1.9481
2015-09-16 09:00:00,6.655,NaN,1.3068,1.8755
2015-09-16 10:00:00,6.1589,NaN,1.2463,1.8392
2015-09-16 11:00:00,6.7397,NaN,1.3068,1.089
2015-09-16 12:00:00,6.2315,NaN,1.2584,1.9239
2015-09-16 13:00:00,5.1909,NaN,1.2342,1.6819
2015-09-16 14:00:00,6.0621,NaN,1.1979,1.4641
2015-09-16 15:00:00,6.8244,NaN,1.21,1.6093
2015-09-16 16:00:00,6.1226,NaN,1.2826,1.5488
2015-09-16 17:00:00,6.5824,NaN,1.2947,1.7666
2015-09-16 18:00:00,5.4934,NaN,1.3915,1.7182
2015-09-16 19:00:00,5.6991,NaN,1.4157,1.5246
2015-09-16 20:00:00,6.8607,NaN,1.4157,1.5367
2015-09-16 21:00:00,5.0457,NaN,1.4762,1.5004
2015-09-16 22:00:00,7.0664,NaN,1.5488,1.5609
2015-09-16 23:00:00,4.5375,NaN,1.7424,1.6577
2015-09-17 00:00:00,5.7354,NaN,2.057,1.7182
2015-09-17 01:00:00,4.114,NaN,2.0086,2.057
2015-09-17 02:00:00,3.4848,NaN,1.936,1.9118
2015-09-17 03:00:00,3.872,NaN,1.7908,1.9239
