date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-05-06 14:00:00,2.4684,1.9418,NaN,NaN
2015-05-06 15:00:00,2.5773,1.6206,NaN,NaN
2015-05-06 16:00:00,2.6862,1.6498,NaN,NaN
2015-05-06 17:00:00,1.9965,1.4016,NaN,NaN
2015-05-06 18:00:00,1.8997,1.5695,NaN,NaN
2015-05-06 19:00:00,1.9602,1.168,NaN,NaN
2015-05-06 20:00:00,1.6456,1.095,NaN,NaN
2015-05-06 21:00:00,1.5004,1.1315,NaN,NaN
2015-05-06 22:00:00,1.5972,1.4016,NaN,-0.0242
2015-05-06 23:00:00,1.6819,1.1023,NaN,-0.0242
2015-05-07 00:00:00,1.6819,2.4163,NaN,-0.0484
2015-05-07 01:00:00,1.7787,4.9129,NaN,-0.0484
2015-05-07 02:00:00,1.8392,6.2926,NaN,NaN
2015-05-07 03:00:00,2.2506,5.5626,NaN,NaN
2015-05-07 04:00:00,2.5289,8.2125,NaN,NaN
2015-05-07 05:00:00,2.5652,9.8842,NaN,NaN
2015-05-07 06:00:00,2.4079,8.3585,NaN,NaN
2015-05-07 07:00:00,3.0855,9.1834,NaN,NaN
2015-05-07 08:00:00,3.4122,8.8987,NaN,NaN
2015-05-07 09:00:00,2.4321,9.5849,NaN,NaN
2015-05-07 10:00:00,4.0172,9.4973,NaN,NaN
2015-05-07 11:00:00,3.3517,8.1614,NaN,-0.0242
2015-05-07 12:00:00,2.9887,7.2635,NaN,-0.0242
2015-05-07 13:00:00,NaN,6.7598,NaN,NaN
2015-05-07 14:00:00,2.4926,5.6429,NaN,1.0043
2015-05-07 15:00:00,2.7104,5.8035,NaN,1.1858
2015-05-07 16:00:00,2.5773,5.6648,NaN,0.363
2015-05-07 17:00:00,2.0812,5.7524,NaN,-0.0242
2015-05-07 18:00:00,2.1538,6.059,NaN,0.0847
2015-05-07 19:00:00,2.4079,5.475,NaN,0.1815
2015-05-07 20:00:00,2.3353,4.8545,NaN,0.3872
2015-05-07 21:00:00,2.178,3.4967,NaN,0.4719
