month,pressure_bins,seawater_temperature,practical_salinity,density
2,199,12.34,35.59,1027.88
2,201,12.21,35.58,1027.90
2,203,12.11,35.57,1027.92
2,205,12.07,35.56,1027.93
2,207,12.02,35.55,1027.95
2,209,11.97,35.55,1027.96
2,211,11.91,35.54,1027.97
2,213,11.86,35.53,1027.99
2,215,11.80,35.53,1028.00
2,217,11.74,35.52,1028.02
2,219,11.68,35.51,1028.03
2,221,11.62,35.50,1028.05
2,223,11.56,35.50,1028.06
2,225,11.50,35.49,1028.08
2,227,11.44,35.48,1028.09
2,229,11.39,35.48,1028.10
2,231,11.33,35.47,1028.12
2,233,11.27,35.46,1028.13
2,235,11.21,35.45,1028.15
2,237,11.15,35.45,1028.16
2,239,11.10,35.44,1028.18
2,241,11.04,35.43,1028.19
2,243,10.99,35.43,1028.20
2,245,10.93,35.42,1028.22
2,247,10.87,35.41,1028.23
2,249,10.82,35.41,1028.25
2,251,10.76,35.40,1028.26
2,253,10.71,35.39,1028.28
2,255,10.66,35.39,1028.29
2,257,10.60,35.38,1028.30
2,259,10.56,35.37,1028.32
2,261,10.50,35.37,1028.33
2,263,10.44,35.36,1028.34
2,265,10.40,35.36,1028.36
2,267,10.35,35.35,1028.37
2,269,10.30,35.35,1028.38
2,271,10.25,35.34,1028.40
2,273,10.20,35.34,1028.41
2,275,10.15,35.33,1028.43
2,277,10.09,35.32,1028.44
2,279,10.05,35.32,1028.45
2,281,9.99,35.31,1028.47
2,283,9.94,35.31,1028.48
2,285,9.90,35.30,1028.50
2,287,9.85,35.30,1028.51
2,289,9.81,35.30,1028.52
2,291,9.77,35.29,1028.54
2,293,9.73,35.29,1028.55
2,295,9.69,35.28,1028.56
2,297,9.65,35.28,1028.58
2,299,9.61,35.28,1028.59
2,301,9.57,35.27,1028.60
2,303,9.53,35.27,1028.61
2,305,9.48,35.26,1028.63
2,307,9.44,35.26,1028.64
2,309,9.40,35.26,1028.65
2,311,9.36,35.25,1028.67
2,313,9.31,35.25,1028.68
2,315,9.28,35.25,1028.69
2,317,9.23,35.24,1028.71
2,319,9.19,35.24,1028.72
2,321,9.15,35.24,1028.74
2,323,9.11,35.23,1028.75
2,325,9.07,35.23,1028.76
2,327,9.03,35.23,1028.78
2,329,8.98,35.23,1028.79
2,331,8.94,35.22,1028.80
2,333,8.90,35.22,1028.82
2,335,8.85,35.22,1028.83
2,337,8.81,35.21,1028.85
2,339,8.76,35.21,1028.86
2,341,8.73,35.21,1028.87
2,343,8.69,35.21,1028.89
2,345,8.65,35.20,1028.90
2,347,8.62,35.20,1028.91
2,349,8.59,35.20,1028.93
2,351,8.57,35.20,1028.94
2,353,8.51,35.20,1028.95
2,355,8.47,35.19,1028.97
2,357,8.43,35.19,1028.98
2,359,8.40,35.19,1028.99
2,361,8.35,35.19,1029.01
2,363,8.32,35.19,1029.02
2,365,8.29,35.18,1029.04
2,367,8.25,35.18,1029.05
2,369,8.22,35.18,1029.06
2,371,8.18,35.18,1029.08
2,373,8.14,35.18,1029.09
2,375,8.12,35.18,1029.10
2,377,8.08,35.17,1029.11
2,379,8.04,35.17,1029.13
2,381,8.00,35.17,1029.14
2,383,7.96,35.17,1029.16
2,385,7.93,35.17,1029.17
2,387,7.89,35.17,1029.18
2,389,7.85,35.16,1029.20
2,391,7.83,35.16,1029.21
2,393,7.80,35.16,1029.22
2,395,7.77,35.16,1029.23
2,397,7.73,35.16,1029.25
2,399,7.70,35.16,1029.26
2,401,7.67,35.16,1029.27
2,403,7.66,35.16,1029.28
2,405,7.60,35.15,1029.30
2,407,7.61,35.15,1029.31
2,409,7.55,35.15,1029.33
2,411,7.48,35.15,1029.34
3,19,12.31,35.13,1026.72
3,21,11.00,34.73,1026.63
3,23,11.99,35.02,1026.69
3,25,11.09,34.74,1026.66
3,27,9.78,34.31,1026.55
3,29,9.64,34.27,1026.55
3,31,10.48,34.54,1026.62
3,33,10.71,34.61,1026.66
3,35,10.76,34.62,1026.67
3,37,10.87,34.66,1026.69
3,39,11.17,34.75,1026.71
3,41,11.11,34.74,1026.73
3,43,11.42,34.84,1026.76
3,45,11.78,34.95,1026.79
3,47,11.71,34.93,1026.79
3,49,11.87,34.97,1026.81
3,51,11.90,34.99,1026.83
3,53,11.79,34.95,1026.82
3,55,12.16,35.07,1026.85
3,57,12.31,35.12,1026.88
3,59,12.21,35.09,1026.88
3,61,12.36,35.13,1026.90
3,63,12.52,35.19,1026.92
3,65,12.56,35.20,1026.93
3,67,12.71,35.25,1026.95
3,69,12.83,35.29,1026.96
3,71,12.88,35.31,1026.97
3,73,12.91,35.32,1026.99
3,75,12.97,35.34,1027.00
3,77,13.03,35.36,1027.01
3,79,13.07,35.37,1027.02
3,81,13.11,35.39,1027.04
3,83,13.13,35.40,1027.05
3,85,13.16,35.41,1027.06
3,87,13.19,35.42,1027.07
3,89,13.22,35.43,1027.08
3,91,13.23,35.44,1027.09
3,93,13.25,35.45,1027.11
3,95,13.27,35.45,1027.12
3,97,13.27,35.46,1027.13
3,99,13.28,35.46,1027.14
3,101,13.28,35.47,1027.15
3,103,13.30,35.47,1027.16
3,105,13.30,35.48,1027.17
3,107,13.31,35.48,1027.18
3,109,13.32,35.49,1027.20
3,111,13.33,35.49,1027.21
3,113,13.33,35.50,1027.22
3,115,13.33,35.50,1027.23
3,117,13.34,35.51,1027.24
3,119,13.34,35.51,1027.25
3,121,13.34,35.51,1027.27
3,123,13.34,35.52,1027.28
3,125,13.34,35.52,1027.29
3,127,13.34,35.53,1027.30
3,129,13.33,35.53,1027.31
3,131,13.34,35.53,1027.32
3,133,13.34,35.54,1027.34
3,135,13.33,35.54,1027.35
3,137,13.33,35.55,1027.36
3,139,13.34,35.55,1027.38
3,141,13.33,35.56,1027.39
3,143,13.33,35.57,1027.41
3,145,13.33,35.58,1027.42
3,147,13.34,35.58,1027.43
3,149,13.33,35.59,1027.45
3,151,13.32,35.59,1027.46
3,153,13.31,35.59,1027.47
3,155,13.31,35.60,1027.49
3,157,13.31,35.61,1027.51
3,159,13.29,35.61,1027.52
3,161,13.26,35.62,1027.54
3,163,13.27,35.62,1027.55
3,165,13.24,35.62,1027.56
3,167,13.23,35.64,1027.59
3,169,13.24,35.64,1027.60
3,171,13.17,35.63,1027.61
3,173,13.10,35.63,1027.64
3,175,13.11,35.63,1027.65
3,177,13.02,35.63,1027.67
3,179,13.03,35.64,1027.68
3,181,13.01,35.64,1027.70
3,183,13.01,35.64,1027.71
3,185,12.91,35.63,1027.73
3,187,12.87,35.63,1027.75
3,189,12.80,35.62,1027.76
3,191,12.69,35.61,1027.79
3,193,12.78,35.62,1027.79
3,195,12.75,35.63,1027.81
3,197,12.60,35.61,1027.83
3,199,12.65,35.62,1027.83
3,201,12.43,35.59,1027.87
3,203,12.47,35.59,1027.87
3,205,12.40,35.59,1027.89
3,207,12.31,35.58,1027.91
3,209,12.24,35.57,1027.92
3,211,12.18,35.56,1027.94
3,213,12.11,35.56,1027.96
3,215,12.06,35.55,1027.97
3,217,11.99,35.54,1027.99
3,219,11.93,35.54,1028.00
3,221,11.89,35.53,1028.02
3,223,11.82,35.52,1028.03
3,225,11.75,35.51,1028.05
3,227,11.69,35.51,1028.06
3,229,11.63,35.50,1028.08
3,231,11.57,35.49,1028.09
3,233,11.50,35.48,1028.11
3,235,11.44,35.48,1028.12
3,237,11.37,35.47,1028.14
3,239,11.31,35.46,1028.15
3,241,11.25,35.45,1028.17
3,243,11.18,35.44,1028.18
3,245,11.12,35.44,1028.20
3,247,11.04,35.43,1028.21
3,249,10.98,35.42,1028.23
3,251,10.92,35.41,1028.24
3,253,10.86,35.40,1028.26
3,255,10.79,35.40,1028.27
3,257,10.72,35.39,1028.29
3,259,10.65,35.38,1028.30
3,261,10.58,35.37,1028.32
3,263,10.51,35.36,1028.33
3,265,10.45,35.36,1028.35
3,267,10.37,35.35,1028.36
3,269,10.31,35.34,1028.38
3,271,10.25,35.33,1028.39
3,273,10.19,35.33,1028.41
3,275,10.13,35.32,1028.42
3,277,10.07,35.31,1028.44
3,279,10.01,35.31,1028.45
3,281,9.96,35.30,1028.47
3,283,9.90,35.30,1028.48
3,285,9.84,35.29,1028.49
3,287,9.79,35.28,1028.51
3,289,9.72,35.28,1028.53
3,291,9.67,35.27,1028.54
3,293,9.61,35.27,1028.55
3,295,9.56,35.26,1028.57
3,297,9.51,35.26,1028.58
3,299,9.46,35.25,1028.60
3,301,9.41,35.25,1028.61
3,303,9.37,35.25,1028.62
3,305,9.32,35.24,1028.64
3,307,9.27,35.24,1028.65
3,309,9.23,35.23,1028.67
3,311,9.18,35.23,1028.68
3,313,9.14,35.23,1028.69
3,315,9.10,35.22,1028.71
3,317,9.05,35.22,1028.72
3,319,9.01,35.22,1028.74
3,321,8.97,35.22,1028.75
3,323,8.92,35.21,1028.76
3,325,8.88,35.21,1028.78
3,327,8.84,35.21,1028.79
3,329,8.80,35.21,1028.81
3,331,8.75,35.20,1028.82
3,333,8.70,35.20,1028.84
3,335,8.66,35.20,1028.85
3,337,8.61,35.20,1028.86
3,339,8.58,35.19,1028.88
3,341,8.54,35.19,1028.89
3,343,8.49,35.19,1028.91
3,345,8.45,35.19,1028.92
3,347,8.41,35.18,1028.93
3,349,8.36,35.18,1028.95
3,351,8.33,35.18,1028.96
3,353,8.29,35.18,1028.98
3,355,8.25,35.18,1028.99
3,357,8.22,35.18,1029.00
3,359,8.18,35.17,1029.02
3,361,8.14,35.17,1029.03
3,363,8.11,35.17,1029.04
3,365,8.07,35.17,1029.06
3,367,8.04,35.17,1029.07
3,369,8.00,35.17,1029.09
3,371,7.97,35.17,1029.10
3,373,7.94,35.16,1029.11
3,375,7.90,35.16,1029.12
3,377,7.87,35.16,1029.14
3,379,7.84,35.16,1029.15
3,381,7.80,35.16,1029.17
3,383,7.77,35.16,1029.18
3,385,7.74,35.16,1029.19
3,387,7.70,35.15,1029.20
3,389,7.67,35.15,1029.22
3,391,7.63,35.15,1029.23
3,393,7.60,35.15,1029.24
3,395,7.56,35.15,1029.26
3,397,7.52,35.15,1029.27
3,399,7.50,35.15,1029.28
3,401,7.46,35.15,1029.30
3,403,7.43,35.14,1029.31
3,405,7.37,35.14,1029.33
3,407,7.53,35.15,1029.32
3,409,7.43,35.14,1029.34
3,411,7.14,35.13,1029.38
4,21,6.54,33.14,1026.11
4,23,6.99,33.27,1026.17
4,25,10.53,34.21,1026.32
4,27,8.77,33.70,1026.22
4,29,8.66,33.68,1026.24
4,31,8.75,33.76,1026.31
4,33,9.36,33.93,1026.33
4,35,9.17,33.94,1026.39
4,37,8.99,33.91,1026.40
4,39,9.09,33.96,1026.44
4,41,9.37,34.07,1026.49
4,43,9.60,34.16,1026.53
4,45,9.90,34.28,1026.59
4,47,9.59,34.18,1026.57
4,49,10.18,34.38,1026.64
4,51,10.29,34.42,1026.66
4,53,10.25,34.42,1026.68
4,55,10.43,34.47,1026.70
4,57,10.48,34.50,1026.72
4,59,10.55,34.53,1026.74
4,61,10.76,34.61,1026.78
4,63,11.03,34.69,1026.80
4,65,11.10,34.73,1026.83
4,67,11.36,34.82,1026.86
4,69,11.39,34.84,1026.88
4,71,11.61,34.90,1026.91
4,73,11.90,35.01,1026.94
4,75,11.97,35.04,1026.96
4,77,11.81,34.98,1026.96
4,79,11.97,35.04,1026.98
4,81,12.02,35.05,1026.99
