time,month,pressure_bin,seawater_temperature,practical_salinity,density,site
2019-09-01,9,25,23.10,35.53,1024.42,CP
2019-09-01,9,35,21.94,35.50,1024.75,CP
2019-09-01,9,45,19.96,35.54,1025.35,CP
2019-09-01,9,55,18.39,35.75,1025.97,CP
2019-09-01,9,65,17.40,35.86,1026.35,CP
2019-09-01,9,75,16.72,35.92,1026.62,CP
2019-09-01,9,85,16.31,35.96,1026.79,CP
2019-09-01,9,95,15.87,35.98,1026.95,CP
2019-09-01,9,105,15.47,35.95,1027.07,CP
2019-09-01,9,115,15.26,35.95,1027.16,CP
2019-09-01,9,125,14.84,35.90,1027.26,CP
2019-09-01,9,135,14.59,35.87,1027.34,CP
2019-09-01,9,145,14.37,35.85,1027.41,CP
2019-09-01,9,155,14.14,35.82,1027.49,CP
2019-09-01,9,165,13.91,35.80,1027.56,CP
2019-09-01,9,175,13.70,35.77,1027.63,CP
2019-09-01,9,185,13.49,35.74,1027.69,CP
2019-09-01,9,195,13.25,35.71,1027.76,CP
2019-09-01,9,205,13.08,35.69,1027.82,CP
2019-09-01,9,215,12.84,35.65,1027.89,CP
2019-09-01,9,225,12.62,35.62,1027.96,CP
2019-09-01,9,235,12.37,35.59,1028.03,CP
2019-09-01,9,245,12.11,35.55,1028.10,CP
2019-09-01,9,255,11.87,35.52,1028.16,CP
2019-09-01,9,265,11.59,35.48,1028.23,CP
2019-09-01,9,275,11.42,35.46,1028.29,CP
2019-09-01,9,285,11.11,35.42,1028.37,CP
2019-09-01,9,295,10.86,35.39,1028.43,CP
2019-09-01,9,305,10.62,35.36,1028.50,CP
2019-09-01,9,315,10.40,35.34,1028.57,CP
2019-09-01,9,325,10.18,35.31,1028.63,CP
2019-09-01,9,335,9.96,35.29,1028.70,CP
2019-09-01,9,345,9.77,35.27,1028.76,CP
2019-09-01,9,355,9.58,35.26,1028.83,CP
2019-09-01,9,365,9.41,35.24,1028.89,CP
2019-09-01,9,375,9.24,35.23,1028.95,CP
2019-09-01,9,385,9.07,35.22,1029.02,CP
2019-09-01,9,395,8.91,35.21,1029.08,CP
2019-09-01,9,405,8.55,35.18,1029.18,CP
2019-09-01,9,415,8.71,35.20,1029.18,CP
2019-10-01,10,15,20.85,35.68,1025.13,CP
2019-10-01,10,25,21.00,35.60,1025.05,CP
2019-10-01,10,35,20.75,35.51,1025.08,CP
2019-10-01,10,45,20.99,35.59,1025.13,CP
2019-10-01,10,55,20.97,35.60,1025.18,CP
2019-10-01,10,65,20.28,35.56,1025.38,CP
2019-10-01,10,75,18.78,35.63,1025.88,CP
2019-10-01,10,85,17.89,35.91,1026.37,CP
2019-10-01,10,95,17.54,36.11,1026.66,CP
2019-10-01,10,105,17.34,36.21,1026.83,CP
2019-10-01,10,115,17.01,36.21,1026.95,CP
2019-10-01,10,125,16.63,36.18,1027.06,CP
2019-10-01,10,135,16.29,36.13,1027.15,CP
2019-10-01,10,145,15.84,36.07,1027.25,CP
2019-10-01,10,155,15.46,36.02,1027.34,CP
2019-10-01,10,165,15.12,35.97,1027.42,CP
2019-10-01,10,175,14.76,35.91,1027.51,CP
2019-10-01,10,185,14.45,35.87,1027.58,CP
2019-10-01,10,195,14.15,35.83,1027.66,CP
2019-10-01,10,205,14.01,35.81,1027.72,CP
2019-10-01,10,215,13.78,35.78,1027.80,CP
2019-10-01,10,225,13.57,35.76,1027.87,CP
2019-10-01,10,235,13.31,35.72,1027.94,CP
2019-10-01,10,245,13.24,35.71,1027.99,CP
2019-10-01,10,255,12.88,35.67,1028.07,CP
2019-10-01,10,265,12.60,35.63,1028.14,CP
2019-10-01,10,275,12.33,35.59,1028.21,CP
2019-10-01,10,285,12.11,35.56,1028.28,CP
2019-10-01,10,295,11.86,35.53,1028.35,CP
2019-10-01,10,305,11.62,35.50,1028.42,CP
2019-10-01,10,315,11.38,35.47,1028.48,CP
2019-10-01,10,325,11.14,35.44,1028.55,CP
2019-10-01,10,335,10.91,35.41,1028.62,CP
2019-10-01,10,345,10.66,35.38,1028.69,CP
2019-10-01,10,355,10.40,35.36,1028.76,CP
2019-10-01,10,365,10.15,35.33,1028.83,CP
2019-10-01,10,375,9.91,35.31,1028.90,CP
2019-10-01,10,385,9.66,35.28,1028.97,CP
2019-10-01,10,395,9.42,35.26,1029.04,CP
2019-10-01,10,405,9.02,35.23,1029.13,CP
2019-10-01,10,415,9.10,35.23,1029.14,CP
2019-11-01,11,15,17.68,35.11,1025.51,CP
2019-11-01,11,25,17.59,35.05,1025.51,CP
2019-11-01,11,35,17.59,35.05,1025.56,CP
2019-11-01,11,45,17.50,35.05,1025.62,CP
2019-11-01,11,55,17.65,35.17,1025.73,CP
2019-11-01,11,65,17.50,35.29,1025.90,CP
2019-11-01,11,75,17.28,35.43,1026.11,CP
2019-11-01,11,85,16.89,35.58,1026.36,CP
2019-11-01,11,95,16.40,35.71,1026.62,CP
2019-11-01,11,105,15.95,35.80,1026.84,CP
2019-11-01,11,115,15.60,35.85,1027.01,CP
2019-11-01,11,125,15.31,35.88,1027.14,CP
2019-11-01,11,135,14.97,35.87,1027.25,CP
2019-11-01,11,145,14.60,35.84,1027.35,CP
2019-11-01,11,155,14.26,35.81,1027.44,CP
2019-11-01,11,165,13.92,35.77,1027.53,CP
2019-11-01,11,175,13.64,35.74,1027.62,CP
2019-11-01,11,185,13.31,35.70,1027.70,CP
2019-11-01,11,195,12.96,35.66,1027.79,CP
2019-11-01,11,205,12.81,35.65,1027.84,CP
2019-11-01,11,215,12.36,35.59,1027.94,CP
2019-11-01,11,225,12.05,35.55,1028.01,CP
2019-11-01,11,235,11.75,35.51,1028.09,CP
2019-11-01,11,245,11.46,35.48,1028.16,CP
2019-11-01,11,255,11.16,35.44,1028.24,CP
2019-11-01,11,265,10.88,35.41,1028.31,CP
2019-11-01,11,275,10.60,35.38,1028.38,CP
2019-11-01,11,285,10.33,35.35,1028.45,CP
2019-11-01,11,295,10.08,35.32,1028.52,CP
2019-11-01,11,305,9.81,35.29,1028.59,CP
2019-11-01,11,315,9.56,35.27,1028.66,CP
2019-11-01,11,325,9.33,35.25,1028.73,CP
2019-11-01,11,335,9.09,35.23,1028.80,CP
2019-11-01,11,345,8.87,35.22,1028.87,CP
2019-11-01,11,355,8.66,35.20,1028.94,CP
2019-11-01,11,365,8.46,35.19,1029.01,CP
2019-11-01,11,375,8.26,35.18,1029.08,CP
2019-11-01,11,385,8.08,35.17,1029.15,CP
2019-11-01,11,395,7.92,35.16,1029.21,CP
2019-11-01,11,405,7.68,35.15,1029.29,CP
2019-11-01,11,415,7.69,35.15,1029.31,CP
2019-12-01,12,15,15.57,35.26,1026.14,CP
2019-12-01,12,25,13.57,34.44,1025.95,CP
2019-12-01,12,35,14.07,34.61,1026.02,CP
2019-12-01,12,45,14.05,34.67,1026.11,CP
2019-12-01,12,55,14.55,34.87,1026.21,CP
2019-12-01,12,65,15.16,35.11,1026.31,CP
2019-12-01,12,75,15.66,35.35,1026.43,CP
2019-12-01,12,85,15.87,35.53,1026.56,CP
2019-12-01,12,95,15.90,35.69,1026.73,CP
2019-12-01,12,105,15.75,35.83,1026.91,CP
2019-12-01,12,115,15.50,35.91,1027.07,CP
2019-12-01,12,125,15.19,35.92,1027.19,CP
2019-12-01,12,135,14.90,35.90,1027.29,CP
2019-12-01,12,145,14.53,35.86,1027.38,CP
2019-12-01,12,155,14.18,35.81,1027.47,CP
2019-12-01,12,165,13.86,35.77,1027.55,CP
2019-12-01,12,175,13.46,35.72,1027.64,CP
2019-12-01,12,185,13.09,35.68,1027.73,CP
2019-12-01,12,195,12.77,35.64,1027.81,CP
2019-12-01,12,205,12.56,35.61,1027.86,CP
2019-12-01,12,215,12.18,35.56,1027.96,CP
2019-12-01,12,225,11.84,35.52,1028.04,CP
2019-12-01,12,235,11.52,35.48,1028.11,CP
2019-12-01,12,245,11.20,35.44,1028.19,CP
2019-12-01,12,255,10.90,35.41,1028.26,CP
2019-12-01,12,265,10.58,35.37,1028.34,CP
2019-12-01,12,275,10.28,35.34,1028.41,CP
2019-12-01,12,285,10.01,35.31,1028.48,CP
2019-12-01,12,295,9.74,35.28,1028.55,CP
2019-12-01,12,305,9.48,35.26,1028.62,CP
2019-12-01,12,315,9.25,35.24,1028.69,CP
2019-12-01,12,325,9.05,35.22,1028.76,CP
2019-12-01,12,335,8.84,35.21,1028.83,CP
2019-12-01,12,345,8.62,35.19,1028.90,CP
2019-12-01,12,355,8.42,35.18,1028.97,CP
2019-12-01,12,365,8.24,35.17,1029.03,CP
2019-12-01,12,375,8.06,35.17,1029.10,CP
2019-12-01,12,385,7.87,35.16,1029.17,CP
2019-12-01,12,395,7.69,35.15,1029.24,CP
2019-12-01,12,405,7.56,35.14,1029.31,CP
2019-12-01,12,415,7.36,35.13,1029.35,CP
2015-04-01,4,5,13.34,34.49,1025.97,GA
2015-04-01,4,15,14.18,34.50,1025.82,GA
2015-04-01,4,25,14.22,34.50,1025.85,GA
2015-04-01,4,35,13.87,34.50,1026.00,GA
2015-04-01,4,45,14.16,34.50,1025.95,GA
2015-04-01,4,55,13.59,34.54,1026.18,GA
