date,Pacific,Atlantic
2015-04-19 20:00:00,1.5488,0.8712
2015-04-20 00:00:00,1.6335,0.8228
2015-04-20 04:00:00,1.6819,0.9922
2015-04-20 08:00:00,1.6577,0.7502
2015-04-20 12:00:00,1.6335,0.7744
2015-04-20 16:00:00,1.2221,0.9196
2015-04-20 20:00:00,1.5851,0.847
2015-04-21 00:00:00,1.6577,0.8712
2015-04-21 04:00:00,1.6335,0.8712
2015-04-21 08:00:00,1.6698,0.8591
2015-04-21 12:00:00,1.6214,0.7986
2015-04-21 16:00:00,1.5609,0.9196
2015-04-21 20:00:00,1.5488,0.9317
2015-04-22 00:00:00,1.6456,0.8712
2015-04-22 04:00:00,1.7061,0.9559
2015-04-22 08:00:00,1.5609,0.9075
2015-04-22 12:00:00,1.5609,0.8954
2015-04-22 16:00:00,1.4278,0.9801
2015-04-22 20:00:00,1.3794,0.9801
2015-04-23 00:00:00,1.6093,0.9317
2015-04-23 04:00:00,1.5851,0.968
2015-04-23 08:00:00,NaN,0.9196
2015-04-23 12:00:00,NaN,0.8712
2015-04-23 16:00:00,1.2221,0.9438
2015-04-23 20:00:00,1.452,0.9922
2015-04-24 00:00:00,1.5851,1.0406
2015-04-24 04:00:00,1.6335,0.9559
2015-04-24 08:00:00,1.5367,0.9438
2015-04-24 12:00:00,1.4883,1.0164
2015-04-24 16:00:00,1.2342,1.0406
2015-04-24 20:00:00,1.331,0.847
2015-04-25 00:00:00,1.5609,0.6292
2015-04-25 04:00:00,1.5851,0.6655
2015-04-25 08:00:00,1.5367,0.7502
2015-04-25 12:00:00,1.5609,0.726
2015-04-25 16:00:00,1.4641,0.8712
2015-04-25 20:00:00,1.3794,0.7623
2015-04-26 00:00:00,1.573,0.8228
2015-04-26 04:00:00,1.6214,0.8228
2015-04-26 08:00:00,1.5488,0.8954
2015-04-26 12:00:00,1.5246,0.9196
2015-04-26 16:00:00,1.2705,0.9801
2015-04-26 20:00:00,1.3189,0.6413
2015-04-27 00:00:00,1.6214,0.6655
2015-04-27 04:00:00,1.6335,0.8228
2015-04-27 08:00:00,1.6093,0.7744
2015-04-27 12:00:00,1.5972,0.7986
2015-04-27 16:00:00,1.331,0.8107
2015-04-27 20:00:00,1.4641,0.7381
2015-04-28 00:00:00,1.5972,0.7986
2015-04-28 04:00:00,1.7061,0.6897
2015-04-28 08:00:00,1.6093,0.7502
2015-04-28 12:00:00,1.573,0.6655
2015-04-28 16:00:00,1.1737,0.7381
2015-04-28 20:00:00,1.1737,0.8954
2015-04-29 00:00:00,1.573,0.9801
2015-04-29 04:00:00,1.6093,0.726
2015-04-29 08:00:00,1.5972,0.7502
2015-04-29 12:00:00,1.5246,0.8712
2015-04-29 16:00:00,1.4278,0.7744
2015-04-29 20:00:00,1.4641,0.8591
2015-04-30 00:00:00,1.5851,0.6897
2015-04-30 04:00:00,1.573,0.7502
2015-04-30 08:00:00,1.573,0.7744
2015-04-30 12:00:00,1.7182,0.7381
2015-04-30 16:00:00,1.4157,0.8954
2015-04-30 20:00:00,1.4157,0.7502
2015-05-01 00:00:00,1.573,0.8107
2015-05-01 04:00:00,1.5972,0.6897
2015-05-01 08:00:00,1.573,0.7139
2015-05-01 12:00:00,1.5972,0.8107
2015-05-01 16:00:00,1.5488,0.726
2015-05-01 20:00:00,1.4883,0.6897
2015-05-02 00:00:00,1.5851,0.7018
2015-05-02 04:00:00,1.6698,0.6413
2015-05-02 08:00:00,1.7303,0.5808
2015-05-02 12:00:00,1.5609,0.5929
2015-05-02 16:00:00,1.5246,0.7381
2015-05-02 20:00:00,1.3915,0.7502
2015-05-03 00:00:00,1.5851,0.6171
2015-05-03 04:00:00,1.6335,0.5203
2015-05-03 08:00:00,1.5851,0.5808
2015-05-03 12:00:00,1.5488,0.5082
2015-05-03 16:00:00,1.5367,0.5566
2015-05-03 20:00:00,1.4883,0.4961
2015-05-04 00:00:00,1.573,0.5445
2015-05-04 04:00:00,1.6093,0.7623
2015-05-04 08:00:00,1.5609,0.5929
2015-05-04 12:00:00,1.5972,0.4961
2015-05-04 16:00:00,1.2826,0.5687
2015-05-04 20:00:00,1.331,0.5324
2015-05-05 00:00:00,1.6093,0.5929
2015-05-05 04:00:00,1.6214,0.605
2015-05-05 08:00:00,1.6335,0.726
2015-05-05 12:00:00,1.5609,0.8107
2015-05-05 16:00:00,1.3189,0.5687
2015-05-05 20:00:00,1.2342,0.6897
2015-05-06 00:00:00,1.6456,0.6413
2015-05-06 04:00:00,1.5488,0.6655
2015-05-06 08:00:00,1.6698,0.6292
2015-05-06 12:00:00,1.5851,0.6292
2015-05-06 16:00:00,1.4762,0.6776
2015-05-06 20:00:00,NaN,0.9075
2015-05-07 00:00:00,NaN,0.8712
2015-05-07 04:00:00,1.5972,0.6655
2015-05-07 08:00:00,1.5488,0.5808
2015-05-07 12:00:00,1.5367,0.7018
2015-05-07 16:00:00,1.4278,0.7502
2015-05-07 20:00:00,1.452,0.7139
2015-05-08 00:00:00,1.6456,0.7623
2015-05-08 04:00:00,1.6335,0.8107
2015-05-08 08:00:00,1.6335,0.8349
2015-05-08 12:00:00,1.5609,0.7744
2015-05-08 16:00:00,1.5004,0.7865
2015-05-08 20:00:00,1.4399,0.7986
2015-05-09 00:00:00,1.6698,0.7381
2015-05-09 04:00:00,1.6819,0.7381
2015-05-09 08:00:00,1.5851,0.6413
2015-05-09 12:00:00,1.5367,0.6655
2015-05-09 16:00:00,1.5125,0.726
2015-05-09 20:00:00,1.3794,0.8591
2015-05-10 00:00:00,1.5851,0.7018
2015-05-10 04:00:00,1.6335,0.6534
2015-05-10 08:00:00,1.6335,0.6413
2015-05-10 12:00:00,1.5367,0.6413
2015-05-10 16:00:00,1.3189,0.8591
2015-05-10 20:00:00,1.3068,0.6413
2015-05-11 00:00:00,1.6214,0.726
2015-05-11 04:00:00,1.6456,0.6655
2015-05-11 08:00:00,1.573,0.6534
2015-05-11 12:00:00,1.5488,0.6171
2015-05-11 16:00:00,1.452,0.726
2015-05-11 20:00:00,1.4762,0.6292
2015-05-12 00:00:00,1.6093,0.6171
2015-05-12 04:00:00,1.6335,0.6292
2015-05-12 08:00:00,1.6214,0.6655
2015-05-12 12:00:00,1.5125,0.5687
2015-05-12 16:00:00,1.5004,0.6776
2015-05-12 20:00:00,1.4157,0.6292
2015-05-13 00:00:00,1.6335,0.6171
2015-05-13 04:00:00,1.6819,0.7502
2015-05-13 08:00:00,1.6214,0.6534
2015-05-13 12:00:00,1.6214,0.6897
2015-05-13 16:00:00,1.3794,0.726
2015-05-13 20:00:00,1.4278,0.7744
2015-05-14 00:00:00,1.5972,0.7502
2015-05-14 04:00:00,1.6456,0.7018
2015-05-14 08:00:00,1.6335,0.6655
2015-05-14 12:00:00,1.5972,0.6897
2015-05-14 16:00:00,1.5367,0.7744
2015-05-14 20:00:00,1.5367,0.7381
2015-05-15 00:00:00,1.5125,0.726
2015-05-15 04:00:00,1.6093,0.7381
2015-05-15 08:00:00,1.5488,0.726
2015-05-15 12:00:00,1.5125,0.7623
2015-05-15 16:00:00,NaN,0.8591
2015-05-15 20:00:00,1.5125,0.7865
2015-05-16 00:00:00,1.5972,0.8107
2015-05-16 04:00:00,1.5851,0.7744
2015-05-16 08:00:00,1.5367,0.726
2015-05-16 12:00:00,1.5851,0.6655
2015-05-16 16:00:00,1.4883,0.7139
2015-05-16 20:00:00,1.3794,0.8228
2015-05-17 00:00:00,1.5851,0.9438
2015-05-17 04:00:00,1.5851,0.7381
2015-05-17 08:00:00,1.5609,0.7623
2015-05-17 12:00:00,1.5851,0.8833
2015-05-17 16:00:00,1.5004,0.847
2015-05-17 20:00:00,1.5125,0.7381
2015-05-18 00:00:00,1.6214,0.8712
2015-05-18 04:00:00,1.5972,0.8591
2015-05-18 08:00:00,1.5972,0.8833
2015-05-18 12:00:00,1.6093,0.8228
2015-05-18 16:00:00,1.3431,0.9438
2015-05-18 20:00:00,1.5246,0.9196
2015-05-19 00:00:00,1.5972,0.968
2015-05-19 04:00:00,1.5851,0.9317
2015-05-19 08:00:00,1.5851,0.9075
2015-05-19 12:00:00,1.5367,1.0527
2015-05-19 16:00:00,1.4641,0.8833
2015-05-19 20:00:00,1.4399,0.9801
2015-05-20 00:00:00,1.5488,1.0164
2015-05-20 04:00:00,1.5246,0.9438
2015-05-20 08:00:00,1.4883,0.8954
2015-05-20 12:00:00,1.452,0.7744
2015-05-20 16:00:00,1.452,0.9196
2015-05-20 20:00:00,1.452,0.8833
2015-05-21 00:00:00,1.5246,1.089
2015-05-21 04:00:00,1.5004,0.8591
2015-05-21 08:00:00,NaN,0.8712
