date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-04-10 22:00:00,2.42,0.8906,NaN,NaN
2015-04-10 23:00:00,2.0812,1.0804,NaN,NaN
2015-04-11 00:00:00,1.8513,1.0512,NaN,NaN
2015-04-11 01:00:00,1.8634,1.095,NaN,NaN
2015-04-11 02:00:00,1.8029,0.9563,NaN,NaN
2015-04-11 03:00:00,1.6819,0.9417,NaN,NaN
2015-04-11 04:00:00,1.7545,0.9052,NaN,NaN
2015-04-11 05:00:00,1.6577,0.8468,NaN,NaN
2015-04-11 06:00:00,1.6819,0.9125,NaN,NaN
2015-04-11 07:00:00,1.5851,0.9198,NaN,NaN
2015-04-11 08:00:00,1.7182,0.9198,NaN,NaN
2015-04-11 09:00:00,1.7908,0.9052,NaN,NaN
2015-04-11 10:00:00,1.8755,0.9709,NaN,NaN
2015-04-11 11:00:00,1.9844,0.9928,NaN,NaN
2015-04-11 12:00:00,1.8755,1.0658,NaN,NaN
2015-04-11 13:00:00,1.9844,1.0585,NaN,NaN
2015-04-11 14:00:00,2.0086,1.0074,NaN,NaN
2015-04-11 15:00:00,2.1417,1.0512,NaN,NaN
2015-04-11 16:00:00,2.6499,0.9928,NaN,NaN
2015-04-11 17:00:00,2.904,0.657,NaN,NaN
2015-04-11 18:00:00,2.9282,0.5913,NaN,NaN
2015-04-11 19:00:00,2.8435,0.5548,NaN,NaN
2015-04-11 20:00:00,3.0734,0.5402,NaN,NaN
2015-04-11 21:00:00,3.1097,0.5329,NaN,NaN
2015-04-11 22:00:00,3.3275,0.657,NaN,NaN
2015-04-11 23:00:00,3.1218,0.5329,NaN,NaN
2015-04-12 00:00:00,3.2791,0.5986,NaN,NaN
2015-04-12 01:00:00,3.3275,0.6789,NaN,NaN
2015-04-12 02:00:00,3.3638,0.73,NaN,NaN
2015-04-12 03:00:00,3.4606,0.8322,NaN,NaN
2015-04-12 04:00:00,3.3154,0.7957,NaN,NaN
2015-04-12 05:00:00,3.4606,0.7884,NaN,NaN
2015-04-12 06:00:00,3.8115,0.7373,NaN,NaN
2015-04-12 07:00:00,3.0492,0.7008,NaN,NaN
2015-04-12 08:00:00,3.1339,0.7738,NaN,NaN
2015-04-12 09:00:00,3.3396,0.7008,NaN,NaN
2015-04-12 10:00:00,3.6058,0.6862,NaN,NaN
2015-04-12 11:00:00,3.5453,0.6935,NaN,NaN
2015-04-12 12:00:00,3.3154,0.6935,NaN,NaN
2015-04-12 13:00:00,3.8236,0.7008,NaN,NaN
2015-04-12 14:00:00,3.3396,0.6424,NaN,NaN
2015-04-12 15:00:00,3.2186,0.6862,NaN,NaN
2015-04-12 16:00:00,3.5816,0.5986,NaN,NaN
2015-04-12 17:00:00,2.42,0.6205,NaN,NaN
2015-04-12 18:00:00,2.4684,0.4818,NaN,NaN
2015-04-12 19:00:00,2.5773,0.4891,NaN,NaN
2015-04-12 20:00:00,2.3837,0.4672,NaN,NaN
2015-04-12 21:00:00,2.4442,0.4234,NaN,NaN
2015-04-12 22:00:00,2.7346,0.4599,NaN,NaN
2015-04-12 23:00:00,3.9446,0.4526,NaN,NaN
2015-04-13 00:00:00,3.5453,0.4964,NaN,NaN
2015-04-13 01:00:00,4.356,NaN,NaN,NaN
2015-04-13 02:00:00,2.8435,NaN,NaN,NaN
2015-04-13 03:00:00,3.0976,NaN,NaN,NaN
2015-04-13 04:00:00,3.5211,NaN,NaN,NaN
2015-04-13 05:00:00,2.7104,NaN,NaN,NaN
2015-04-13 06:00:00,2.9766,NaN,NaN,NaN
2015-04-13 07:00:00,3.7268,NaN,NaN,NaN
2015-04-13 08:00:00,3.4727,NaN,NaN,NaN
2015-04-13 09:00:00,2.7346,NaN,NaN,NaN
2015-04-13 10:00:00,2.5652,NaN,NaN,NaN
2015-04-13 11:00:00,2.8556,NaN,NaN,NaN
2015-04-13 12:00:00,2.4321,NaN,NaN,NaN
2015-04-13 13:00:00,2.8798,NaN,NaN,NaN
2015-04-13 14:00:00,2.904,NaN,NaN,NaN
2015-04-13 15:00:00,2.7467,NaN,NaN,NaN
2015-04-13 16:00:00,2.7346,NaN,NaN,NaN
2015-04-13 17:00:00,2.8677,NaN,NaN,NaN
2015-04-13 18:00:00,3.4122,NaN,NaN,NaN
2015-04-13 19:00:00,3.3759,NaN,NaN,NaN
2015-04-13 20:00:00,3.6542,NaN,NaN,NaN
2015-04-13 21:00:00,4.2592,NaN,NaN,NaN
2015-04-13 22:00:00,4.3076,NaN,NaN,NaN
2015-04-13 23:00:00,NaN,NaN,NaN,NaN
2015-04-14 00:00:00,4.1624,0.8833,NaN,NaN
2015-04-14 01:00:00,4.1382,0.8322,NaN,NaN
2015-04-14 02:00:00,3.7873,0.8614,NaN,NaN
2015-04-14 03:00:00,3.7026,0.8249,NaN,NaN
2015-04-14 04:00:00,3.4969,0.8176,NaN,NaN
2015-04-14 05:00:00,3.4606,0.803,NaN,NaN
2015-04-14 06:00:00,3.751,0.9052,NaN,NaN
2015-04-14 07:00:00,NaN,0.8468,NaN,NaN
2015-04-14 08:00:00,3.1581,0.8322,NaN,NaN
2015-04-14 09:00:00,3.3638,0.7884,NaN,NaN
2015-04-14 10:00:00,3.1339,0.7738,NaN,NaN
2015-04-14 11:00:00,2.6378,0.7373,NaN,NaN
2015-04-14 12:00:00,2.9645,0.7738,NaN,NaN
2015-04-14 13:00:00,3.0008,0.8395,NaN,NaN
2015-04-14 14:00:00,2.8798,0.7884,NaN,NaN
2015-04-14 15:00:00,NaN,0.7227,NaN,NaN
2015-04-14 16:00:00,2.9766,0.7154,NaN,NaN
2015-04-14 17:00:00,3.4243,0.584,NaN,NaN
2015-04-14 18:00:00,2.7467,0.5548,NaN,NaN
2015-04-14 19:00:00,3.4727,0.6351,NaN,NaN
2015-04-14 20:00:00,2.9645,0.5767,NaN,NaN
2015-04-14 21:00:00,3.2428,0.5256,NaN,NaN
2015-04-14 22:00:00,3.8357,0.5256,NaN,NaN
2015-04-14 23:00:00,3.5695,0.5694,NaN,NaN
2015-04-15 00:00:00,3.7389,0.6351,NaN,NaN
2015-04-15 01:00:00,3.8478,0.9344,NaN,NaN
2015-04-15 02:00:00,3.4122,0.9052,NaN,NaN
2015-04-15 03:00:00,3.2549,0.9198,NaN,NaN
2015-04-15 04:00:00,2.7346,0.8541,NaN,NaN
2015-04-15 05:00:00,2.6862,0.8395,NaN,NaN
2015-04-15 06:00:00,4.1261,0.8541,NaN,NaN
2015-04-15 07:00:00,4.0414,0.876,NaN,NaN
2015-04-15 08:00:00,4.2471,0.8541,NaN,NaN
2015-04-15 09:00:00,4.2592,0.8979,NaN,NaN
2015-04-15 10:00:00,4.2108,0.9052,NaN,NaN
2015-04-15 11:00:00,3.5695,0.8614,NaN,NaN
2015-04-15 12:00:00,2.8677,0.9344,NaN,NaN
2015-04-15 13:00:00,2.6862,0.8541,NaN,NaN
2015-04-15 14:00:00,2.8677,0.8541,NaN,NaN
2015-04-15 15:00:00,2.5773,0.7008,NaN,NaN
2015-04-15 16:00:00,2.2264,0.6789,NaN,NaN
2015-04-15 17:00:00,2.2627,0.6132,NaN,NaN
2015-04-15 18:00:00,3.1581,0.5256,NaN,NaN
2015-04-15 19:00:00,4.1382,0.511,NaN,NaN
2015-04-15 20:00:00,4.3076,0.5329,NaN,NaN
2015-04-15 21:00:00,4.6101,0.4964,NaN,NaN
2015-04-15 22:00:00,4.2229,0.4818,NaN,NaN
2015-04-15 23:00:00,4.5254,0.5402,NaN,NaN
2015-04-16 00:00:00,4.6585,0.6497,NaN,NaN
2015-04-16 01:00:00,4.6222,0.7373,NaN,NaN
2015-04-16 02:00:00,4.3439,0.8103,NaN,NaN
2015-04-16 03:00:00,3.7147,0.7081,NaN,NaN
2015-04-16 04:00:00,3.1581,0.7446,NaN,NaN
2015-04-16 05:00:00,3.6421,0.7665,NaN,NaN
2015-04-16 06:00:00,3.1218,0.8176,NaN,NaN
2015-04-16 07:00:00,3.3275,0.8468,NaN,NaN
2015-04-16 08:00:00,3.7873,0.8906,NaN,NaN
2015-04-16 09:00:00,3.7147,0.9198,NaN,NaN
2015-04-16 10:00:00,2.42,0.949,NaN,NaN
2015-04-16 11:00:00,2.5531,0.8614,NaN,NaN
2015-04-16 12:00:00,NaN,0.9198,NaN,NaN
2015-04-16 13:00:00,2.3837,0.9271,NaN,NaN
2015-04-16 14:00:00,3.267,0.9855,NaN,NaN
2015-04-16 15:00:00,3.0371,1.0147,NaN,NaN
2015-04-16 16:00:00,3.1823,0.657,NaN,NaN
2015-04-16 17:00:00,3.0008,0.5986,NaN,NaN
2015-04-16 18:00:00,3.1581,0.7081,NaN,NaN
2015-04-16 19:00:00,2.9524,0.5621,NaN,NaN
2015-04-16 20:00:00,3.2065,0.511,NaN,NaN
2015-04-16 21:00:00,3.1823,0.4964,NaN,NaN
2015-04-16 22:00:00,3.4727,0.5037,NaN,NaN
2015-04-16 23:00:00,3.5937,0.4599,NaN,NaN
2015-04-17 00:00:00,3.9567,0.5548,NaN,NaN
2015-04-17 01:00:00,2.8435,0.6935,NaN,NaN
2015-04-17 02:00:00,3.1944,0.8176,NaN,NaN
2015-04-17 03:00:00,3.4122,0.803,NaN,NaN
2015-04-17 04:00:00,2.7225,0.876,NaN,NaN
2015-04-17 05:00:00,2.7225,0.876,NaN,NaN
2015-04-17 06:00:00,2.7467,0.8249,NaN,NaN
2015-04-17 07:00:00,2.3595,1.6206,NaN,NaN
2015-04-17 08:00:00,2.3232,0.8395,NaN,NaN
2015-04-17 09:00:00,NaN,0.7519,NaN,NaN
2015-04-17 10:00:00,1.815,0.6862,NaN,NaN
2015-04-17 11:00:00,1.6819,0.7008,NaN,NaN
2015-04-17 12:00:00,1.6335,0.584,NaN,NaN
2015-04-17 13:00:00,1.5367,0.6643,NaN,NaN
2015-04-17 14:00:00,1.6335,0.73,NaN,NaN
2015-04-17 15:00:00,1.7545,0.7957,NaN,NaN
2015-04-17 16:00:00,1.8271,1.022,NaN,NaN
2015-04-17 17:00:00,1.7303,0.7081,NaN,NaN
2015-04-17 18:00:00,1.8513,1.1899,NaN,NaN
2015-04-17 19:00:00,1.8029,2.0805,NaN,NaN
2015-04-17 20:00:00,2.0812,1.6498,NaN,NaN
2015-04-17 21:00:00,1.9965,1.1315,NaN,NaN
2015-04-17 22:00:00,1.6577,1.7885,NaN,NaN
2015-04-17 23:00:00,2.1417,0.9125,NaN,NaN
2015-04-18 00:00:00,1.9239,1.022,NaN,NaN
2015-04-18 01:00:00,1.7424,1.606,NaN,NaN
2015-04-18 02:00:00,1.7182,1.5768,NaN,NaN
2015-04-18 03:00:00,1.6819,1.4819,NaN,NaN
2015-04-18 04:00:00,NaN,1.4089,NaN,NaN
2015-04-18 05:00:00,NaN,1.4162,NaN,NaN
2015-04-18 06:00:00,1.694,1.4162,NaN,NaN
2015-04-18 07:00:00,1.6093,1.4089,NaN,NaN
2015-04-18 08:00:00,1.6456,1.4235,NaN,NaN
