date,Washington Chl-a,Washington Nitrate,Irminger Chl-a,Irminger Nitrate
2018-04-24 18:00:00,1.363,4.129,0.944,7.747
2018-04-24 20:00:00,0.980,4.019,0.527,7.536
2018-04-24 22:00:00,1.016,3.737,0.515,7.814
2018-04-25 00:00:00,1.315,4.181,0.655,7.779
2018-04-25 02:00:00,1.166,3.874,1.271,7.751
2018-04-25 04:00:00,0.908,3.636,1.132,7.766
2018-04-25 06:00:00,0.891,3.598,1.463,7.749
2018-04-25 08:00:00,0.988,4.107,1.907,7.743
2018-04-25 10:00:00,0.916,4.064,2.165,7.963
2018-04-25 12:00:00,1.053,3.780,2.262,8.243
2018-04-25 14:00:00,1.392,3.633,2.395,8.244
2018-04-25 16:00:00,1.053,3.835,2.157,8.210
2018-04-25 18:00:00,1.037,3.825,1.451,8.154
2018-04-25 20:00:00,0.972,3.942,1.463,8.156
2018-04-25 22:00:00,1.222,4.206,1.369,8.233
2018-04-26 00:00:00,1.650,3.795,1.100,8.218
2018-04-26 02:00:00,1.658,3.701,1.907,8.190
2018-04-26 04:00:00,1.508,3.815,3.323,7.999
2018-04-26 06:00:00,1.408,3.851,2.906,7.887
2018-04-26 08:00:00,1.210,4.089,2.063,7.888
2018-04-26 10:00:00,1.170,4.077,1.899,7.924
2018-04-26 12:00:00,0.988,3.907,2.792,8.031
2018-04-26 14:00:00,1.061,3.927,2.399,7.831
2018-04-26 16:00:00,0.956,3.853,1.634,7.671
2018-04-26 18:00:00,0.742,3.932,1.201,7.556
2018-04-26 20:00:00,0.803,4.040,1.299,7.508
2018-04-26 22:00:00,0.948,3.900,1.240,7.510
2018-04-27 00:00:00,1.271,3.885,1.447,7.561
2018-04-27 02:00:00,1.125,3.914,1.767,7.602
2018-04-27 04:00:00,1.024,3.922,1.704,7.633
2018-04-27 06:00:00,0.959,4.019,1.395,7.725
2018-04-27 08:00:00,0.879,3.915,1.119,7.805
2018-04-27 10:00:00,0.754,3.811,0.987,7.964
2018-04-27 12:00:00,0.750,3.757,1.564,8.033
2018-04-27 14:00:00,0.786,3.692,1.287,7.989
2018-04-27 16:00:00,1.105,3.784,1.213,7.965
2018-04-27 18:00:00,0.714,3.748,1.100,7.896
2018-04-27 20:00:00,,,,
2018-04-27 22:00:00,,,,
2018-04-28 00:00:00,0.666,3.664,1.509,7.896
2018-04-28 02:00:00,,,,
2018-04-28 04:00:00,,,,
2018-04-28 06:00:00,0.774,3.613,1.147,8.020
2018-04-28 08:00:00,,,,
2018-04-28 10:00:00,,,,
2018-04-28 12:00:00,0.532,3.662,0.959,8.079
2018-04-28 14:00:00,,,,
2018-04-28 16:00:00,,,,
2018-04-28 18:00:00,0.448,3.722,0.796,8.017
2018-04-28 20:00:00,,,,
2018-04-28 22:00:00,,,,
2018-04-29 00:00:00,0.484,3.751,1.147,8.081
2018-04-29 02:00:00,,,,
2018-04-29 04:00:00,,,,
2018-04-29 06:00:00,0.508,3.621,0.644,8.274
2018-04-29 08:00:00,,,,
2018-04-29 10:00:00,,,,
2018-04-29 12:00:00,0.339,3.703,0.667,8.286
2018-04-29 14:00:00,,,,
2018-04-29 16:00:00,,,,
2018-04-29 18:00:00,0.266,3.794,0.842,8.260
2018-04-29 20:00:00,,,,
2018-04-29 22:00:00,,,,
2018-04-30 00:00:00,0.520,3.783,1.685,8.325
2018-04-30 02:00:00,,,,
2018-04-30 04:00:00,,,,
2018-04-30 06:00:00,0.496,3.580,0.456,8.448
2018-04-30 08:00:00,,,,
2018-04-30 10:00:00,,,,
2018-04-30 12:00:00,0.411,3.681,0.398,8.503
2018-04-30 14:00:00,,,,
2018-04-30 16:00:00,,,,
2018-04-30 18:00:00,0.387,3.691,0.725,8.463
2018-04-30 20:00:00,,,,
2018-04-30 22:00:00,,,,
2018-05-01 00:00:00,,,,
2018-05-01 02:00:00,,,,
2018-05-01 04:00:00,,,,
2018-05-01 06:00:00,,,,
2018-05-01 08:00:00,,,,
2018-05-01 10:00:00,,,,
2018-05-01 12:00:00,,,,
2018-05-01 14:00:00,,,,
2018-05-01 16:00:00,,,,
2018-05-01 18:00:00,,,,
2018-05-01 20:00:00,,,,
2018-05-01 22:00:00,,,,
2018-05-02 00:00:00,,,,
2018-05-02 02:00:00,,,,
2018-05-02 04:00:00,,,,
2018-05-02 06:00:00,,,,
2018-05-02 08:00:00,,,,
2018-05-02 10:00:00,,,,
2018-05-02 12:00:00,,,,
2018-05-02 14:00:00,,,,
2018-05-02 16:00:00,,,,
2018-05-02 18:00:00,,,,
2018-05-02 20:00:00,,,,
2018-05-02 22:00:00,,,,
2018-05-03 00:00:00,,,,
2018-05-03 02:00:00,,,,
2018-05-03 04:00:00,,,,
2018-05-03 06:00:00,,,,
2018-05-03 08:00:00,,,,
2018-05-03 10:00:00,,,,
2018-05-03 12:00:00,,,,
2018-05-03 14:00:00,,,,
2018-05-03 16:00:00,,,,
2018-05-03 18:00:00,,,,
2018-05-03 20:00:00,,,,
2018-05-03 22:00:00,,,,
2018-05-04 00:00:00,,,,
2018-05-04 02:00:00,,,,
2018-05-04 04:00:00,,,,
2018-05-04 06:00:00,,,,
2018-05-04 08:00:00,,,,
