time,wind_spd,current_spd,barometric_pressure,precipitation,rain,max_wave_height,peak_wave_period
2018-01-05 09:00:00,12.859624277816806,0.3853760177404609,997.49335,2.5291667,0.0046668053,4.73,9.5
2018-01-05 10:00:00,13.295003292856904,0.31433995070534965,998.2737,2.5096664,0.029333353,4.82,8.7
2018-01-05 11:00:00,13.827467206009882,0.25878593993045146,999.2618,2.487167,0.011333704,6.27,7.7
2018-01-05 12:00:00,14.642112491249781,0.188144883600899,1000.12506,2.4486666,0.0046668053,7.56,10.0
2018-01-05 13:00:00,14.145749770545846,0.11306471838457323,1001.1457,2.4380002,0.025333405,6.75,9.5
2018-01-05 14:00:00,14.25265578573667,0.11437702233133332,1002.1388,2.4113336,0.02333355,7.62,10.0
2018-01-05 15:00:00,14.860619833389979,0.12610470834108894,1002.8671,2.3906665,0.022000551,6.89,10.0
2018-01-05 16:00:00,14.98737739257671,0.21023430067633725,1002.8703,2.3601668,0.031333208,5.56,10.5
2018-01-05 17:00:00,14.450667377447791,0.2729185244757494,1002.953,2.3163333,0.00999999,6.35,10.0
2018-01-05 18:00:00,15.502166128874928,0.3567458027330215,1003.2968,2.2955,0.028000355,5.22,10.0
2018-01-05 19:00:00,15.02582054121292,0.39053847308696304,1004.08185,2.253333,0.0053334236,5.83,10.5
2018-01-05 20:00:00,15.191236953367813,0.43076258621654023,1005.059,2.2234998,0.017999887,7.04,11.1
2018-01-05 21:00:00,15.135017514346066,0.4056125703019597,1006.0598,2.1951668,0.035333395,5.6,9.1
2018-01-05 22:00:00,15.45888056790307,0.3899559314153634,1007.2006,2.1534998,0.0,6.09,8.3
2018-01-05 23:00:00,15.821725353807748,0.38016324445662586,1008.2377,2.1195,0.028666973,7.3,9.5
2018-01-06 00:00:00,17.0142655166112,0.3359528909786723,1009.2627,2.0708332,0.009999752,6.98,10.0
2018-01-06 01:00:00,16.84340459376966,0.2877442322394804,1009.8965,2.0579998,0.05000019,7.61,10.0
2018-01-06 02:00:00,16.627111359669517,0.2552724272436756,1010.8978,2.0251665,0.018000126,7.27,10.5
2018-01-06 03:00:00,15.574814202139374,0.27393315794661904,1011.3688,1.9868335,0.0,7.03,11.1
2018-01-06 04:00:00,14.902850730671,0.28677713609820304,1011.92523,1.9420002,0.011333108,8.76,10.5
2018-01-06 05:00:00,15.27588269830678,0.2711677019421749,1012.51215,1.9208335,0.0039998293,7.18,10.0
2018-01-06 06:00:00,14.72975774652558,0.3039269025424138,1013.3937,1.9001666,0.012666583,8.03,10.0
2018-01-06 07:00:00,15.231085817844335,0.3184612648020947,1014.0329,1.8623333,0.0,6.12,10.0
2018-01-06 08:00:00,14.38252516295251,0.28407710300765476,1014.46014,1.836,0.055333376,7.18,10.0
2018-01-06 09:00:00,14.634810429574515,0.25304217042076105,1014.93524,1.8264999,0.0146666765,6.22,10.0
2018-01-06 10:00:00,14.540959984743255,0.24676135081879302,1015.626,1.8236665,0.03733337,8.67,8.3
2018-01-06 11:00:00,14.9067041880155,0.23044296893278635,1015.84314,1.8075,0.026667356,6.06,10.0
2018-01-06 12:00:00,14.706597834278138,0.19919291148943405,1016.6185,1.7944999,0.0073331594,6.63,7.7
2018-01-06 13:00:00,14.5324088743998,0.19110276825895842,1017.487,1.7626666,0.012666464,4.78,9.5
2018-01-06 14:00:00,13.439941909282446,0.23477245279847647,1017.5924,1.7223333,0.014666915,7.43,9.5
2018-01-06 15:00:00,13.348852477135104,0.2631590676161434,1017.7082,1.7088333,0.00999999,5.72,10.0
2018-01-06 16:00:00,12.794940101419037,0.28100553576511494,1017.3915,1.6981666,0.025999784,5.2,9.1
2018-01-06 17:00:00,12.513427191558396,0.2614983203706959,1017.1818,1.6748333,0.0,5.59,8.0
2018-01-06 18:00:00,12.374534833597293,0.2621457909761396,1017.2791,1.6558335,0.0046668053,6.26,9.1
2018-01-06 19:00:00,11.990134887767693,0.32501850005385646,1017.75256,1.6201667,0.017333388,5.07,9.1
2018-01-06 20:00:00,11.895662898386975,0.2844642841322897,1018.743,1.5916666,0.01999998,5.46,9.5
2018-01-06 21:00:00,11.67824725398527,0.19039528208318876,1019.3445,1.5685,0.026666641,4.32,9.5
2018-01-06 22:00:00,11.342716071547134,0.1499755031268646,1020.3766,1.5445,0.027999997,3.88,7.4
2018-01-06 23:00:00,11.049616261314496,0.11955883602819223,1021.3135,1.509,0.018000126,4.31,8.3
