time,temperature01,temperature14,temperature15,Eq Count,Eq Magnitude
2019-01-11,3.9416559,3.3216376,2.8015535,66,1.0001515151515157
2019-01-12,4.1875014,3.6506412,3.1539092,67,0.8573134328358212
2019-01-13,4.2499037,3.587355,2.8737442,44,0.7431818181818183
2019-01-14,3.904705,3.2006247,2.5912833,40,0.7622500000000001
2019-01-15,4.250452,3.2893198,2.677352,72,0.7365277777777779
2019-01-16,4.461836,3.8956592,3.2895348,100,0.7244999999999999
2019-01-17,3.9814024,3.5362825,3.0244746,48,0.8014583333333336
2019-01-18,3.9963434,3.7540247,3.2908041,47,0.8853191489361705
2019-01-19,3.8862758,3.164438,2.7512546,33,0.816969696969697
2019-01-20,4.2050457,3.5534809,3.1083179,55,0.8081818181818187
2019-01-21,4.2077665,3.5709493,3.1098952,92,0.6654347826086955
2019-01-22,4.072643,3.5686145,3.0909162,143,0.804965034965035
2019-01-23,4.2007246,3.6033957,3.0853968,78,0.7497435897435896
2019-01-24,3.9934385,3.224355,2.7847042,66,0.6834848484848486
2019-01-25,3.9289622,3.4373033,3.1674256,61,0.7316393442622955
2019-01-26,3.851439,3.3321693,2.8823586,18,0.7783333333333332
2019-01-27,4.1338778,3.282765,2.9327397,14,0.6457142857142857
2019-01-28,3.990015,3.1801982,2.738015,6,0.5166666666666666
2019-01-29,4.1830606,3.469084,3.1163602,58,0.6936206896551723
2019-01-30,4.0444493,3.417144,2.9999137,50,0.7032
2019-01-31,4.607442,3.609678,3.087098,139,0.6224460431654679
2019-02-01,4.453472,3.6543343,3.2978375,87,0.728390804597701
2019-02-02,4.5296674,3.6063895,3.1896577,19,0.8421052631578947
2019-02-03,4.400689,3.4457252,3.055907,60,0.6673333333333336
2019-02-04,4.3935366,3.5745416,3.2407498,11,0.9172727272727275
2019-02-05,3.7007947,2.954503,2.6967356,16,0.9225
2019-02-06,4.2144837,3.131126,2.84488,17,0.5652941176470588
2019-02-07,4.6177883,3.6013196,3.2438867,102,0.7083333333333331
2019-02-08,4.5425444,3.4653823,3.1186423,53,0.6533962264150942
2019-02-09,4.2914643,3.3491921,3.0087824,7,0.75
2019-02-10,3.8779528,3.0799909,2.8467224,58,0.6389655172413794
2019-02-11,4.3195124,3.312284,3.041917,11,0.661818181818182
2019-02-12,4.5507417,3.5701299,3.3479228,47,0.6204255319148937
2019-02-13,4.146667,3.1927905,2.9780521,98,0.7201020408163264
2019-02-14,4.092416,3.0834396,2.7134006,58,0.6493103448275861
2019-02-15,4.702329,3.3065732,2.9102545,61,0.6947540983606559
2019-02-16,4.5865884,3.4542005,3.160577,46,0.6439130434782608
2019-02-17,4.4629545,3.2986727,2.9235716,60,0.7841666666666671
2019-02-18,4.1834455,3.194354,2.9559784,23,0.6443478260869565
2019-02-19,4.170576,3.1697893,2.9626856,62,0.7595161290322584
2019-02-20,4.211972,3.1697338,2.9538465,16,0.769375
2019-02-21,4.0427203,3.071374,2.88697,24,0.8779166666666668
2019-02-22,4.1358624,3.1111524,2.8895755,5,0.8859999999999999
2019-02-23,4.1271014,3.0794697,2.8398004,40,0.67675
2019-02-24,4.275215,3.23708,3.000892,99,0.5338383838383839
2019-02-25,4.518292,3.3426716,3.0756946,24,0.9037500000000002
2019-02-26,4.3789864,3.3559344,3.2318954,68,0.6442647058823529
2019-02-27,3.9979339,2.9448073,2.7043302,123,0.6441463414634144
2019-02-28,4.346764,2.992861,2.6742268,66,0.6531818181818181
2019-03-01,4.4458423,3.2936935,3.1027634,97,0.6703092783505152
2019-03-02,4.597915,3.3063421,2.9782538,52,0.728461538461538
2019-03-03,4.382334,3.3514023,3.090262,51,0.7535294117647058
2019-03-04,4.2392273,3.0516222,2.7495813,61,0.6690163934426228
2019-03-05,4.4295926,3.1835744,2.9734871,126,0.5903968253968254
2019-03-06,4.4269567,3.2097018,2.941986,67,0.6538805970149256
2019-03-07,4.6604095,3.143751,2.806736,54,0.5655555555555555
2019-03-08,4.789687,3.0707028,2.7137783,68,0.6176470588235295
2019-03-09,4.7277822,3.081203,2.7256024,66,0.567878787878788
2019-03-10,4.575626,3.163268,2.8923755,27,0.664074074074074
2019-03-11,4.476721,2.903985,2.683644,97,0.7068041237113403
2019-03-12,4.5217495,2.9822953,2.741013,65,0.644923076923077
2019-03-13,4.6538954,3.017658,2.7295833,114,0.5563157894736843
2019-03-14,4.794309,3.2367969,3.0464103,56,0.6773214285714285
2019-03-15,4.4731402,3.095778,2.8783073,48,0.6152083333333332
2019-03-16,4.8044066,3.1316705,2.8074455,20,0.6270000000000002
2019-03-17,4.672849,3.1917052,2.932859,42,0.5790476190476189
2019-03-18,5.0667596,3.3728962,3.0032995,43,0.627674418604651
2019-03-19,5.0250397,3.3080497,2.9894168,42,0.6161904761904764
2019-03-20,4.7469945,3.0402257,2.8173182,276,0.699384057971014
2019-03-21,4.8174696,3.0203314,2.79275,147,0.7793197278911566
2019-03-22,4.8346605,3.176605,2.8916025,61,0.7188524590163935
2019-03-23,4.9983883,3.1805336,2.9549994,71,0.6912676056338027
2019-03-24,4.9295583,3.1158082,2.8716798,23,0.7295652173913044
2019-03-25,4.7118726,2.8539171,2.6142209,26,0.5884615384615386
2019-03-26,5.1167984,3.0922482,2.8484025,41,0.7039024390243904
2019-03-27,5.409453,3.4556143,3.048736,70,0.6401428571428573
2019-03-28,5.024117,3.0535917,2.796876,80,0.687625
2019-03-29,5.068207,3.2668047,3.0559022,77,0.6796103896103897
2019-03-30,4.874876,3.0032651,2.8024662,209,0.615023923444976
2019-03-31,4.868965,3.0304396,2.7869127,69,0.5960869565217389
2019-04-01,4.9809794,3.0758588,2.897,43,0.5813953488372093
2019-04-02,4.8913493,2.9965172,2.7688875,26,0.5473076923076922
2019-04-03,5.0542264,3.2107375,3.0339677,60,0.5748333333333331
2019-04-04,5.068983,3.2429702,3.0049665,38,0.6189473684210527
2019-04-05,4.9761605,3.1877947,2.9376886,24,0.69
2019-04-06,4.8869724,3.1669858,2.916819,41,0.6614634146341463
2019-04-07,5.224135,3.3199492,3.1635945,88,0.5168181818181822
2019-04-08,4.6561637,3.047649,2.8143787,28,0.6749999999999998
2019-04-09,5.27093,3.333879,3.0515494,82,0.545609756097561
2019-04-10,4.8322926,3.1398826,2.9681447,19,0.4942105263157895
2019-04-11,4.7638783,3.1104486,2.8723054,43,0.5704651162790697
2019-04-12,4.8455667,3.1451225,2.9732533,12,0.5458333333333333
2019-04-13,5.1917615,3.2837892,3.0806763,49,0.683673469387755
2019-04-14,4.964785,3.1343014,2.8772562,12,0.6133333333333334
2019-04-15,4.995181,3.0272732,2.7926025,33,0.5012121212121212
2019-04-16,4.328023,3.328899,3.0614746,73,0.5709589041095892
2019-04-17,4.1538577,3.3383827,3.074025,66,0.6092424242424245
2019-04-18,4.1487494,3.1349902,2.905176,52,0.589423076923077
2019-04-19,3.9898434,3.0718231,2.876956,59,0.5910169491525422
2019-04-20,4.0119653,3.1972077,3.0170884,70,0.6267142857142856
2019-04-21,4.0784597,3.0441515,2.809782,71,0.5853521126760561
2019-04-22,4.7265596,3.6128137,3.125885,43,0.6074418604651164
2019-04-23,4.1297655,3.16173,2.9263456,41,0.7768292682926831
2019-04-24,4.14396,3.262102,3.0026093,43,0.6400000000000001
2019-04-25,4.289588,3.2699718,2.8574545,18,0.68
2019-04-26,4.105073,3.0191908,2.7074263,101,0.6033663366336636
2019-04-27,3.9612947,3.0027606,2.7649076,43,0.5909302325581397
2019-04-28,4.3673787,3.3293543,3.0169902,60,0.5121666666666667
2019-04-29,4.1945276,3.2120938,2.882026,39,0.6294871794871795
2019-04-30,3.8400762,2.9981189,2.7763898,113,0.6831858407079647
2019-05-01,4.17236,3.2572296,3.1043181,61,0.6842622950819675
2019-05-02,4.3533773,3.2800746,2.9822295,60,0.5036666666666668
2019-05-03,4.3180237,3.2098553,2.857191,66,0.5616666666666666
