time,Pressure (psi),Depth (m),Temperature
2015-03-16 22:30,2252.0058,1509.9192,2.8226293
2015-03-16 22:45,2251.9454,1509.9231,2.8237697
2015-03-16 23:00,2251.8978,1509.9227,2.8255119
2015-03-16 23:15,2251.8799,1509.929,2.8288474
2015-03-16 23:30,2251.8709,1509.9275,2.8343274
2015-03-16 23:45,2251.8999,1509.9379,2.8396188
2015-03-17 00:00,2251.9274,1509.934,2.845631
2015-03-17 00:15,2251.9744,1509.93,2.8524453
2015-03-17 00:30,2252.0535,1509.9348,2.85724
2015-03-17 00:45,2252.1395,1509.9326,2.8612364
2015-03-17 01:00,2252.2476,1509.9344,2.8527031
2015-03-17 01:15,2252.3701,1509.936,2.8481844
2015-03-17 01:30,2252.4992,1509.9334,2.845917
2015-03-17 01:45,2252.6394,1509.9311,2.8487526
2015-03-17 02:00,2252.7979,1509.9353,2.8566392
2015-03-17 02:15,2252.9614,1509.9384,2.8528431
2015-03-17 02:30,2253.1208,1509.9361,2.8522574
2015-03-17 02:45,2253.2864,1509.9365,2.8576235
2015-03-17 03:00,2253.4576,1509.941,2.8559939
2015-03-17 03:15,2253.619,1509.9407,2.8539579
2015-03-17 03:30,2253.7809,1509.9441,2.8515099
2015-03-17 03:45,2253.9278,1509.9422,2.8496444
2015-03-17 04:00,2254.0704,1509.9436,2.8492898
2015-03-17 04:15,2254.1987,1509.9427,2.8494756
2015-03-17 04:30,2254.3154,1509.9428,2.8510418
2015-03-17 04:45,2254.426,1509.9484,2.8558349
2015-03-17 05:00,2254.5079,1509.9454,2.8734623
2015-03-17 05:15,2254.5827,1509.9489,2.8685823
2015-03-17 05:30,2254.631,1509.9467,2.8676209
2015-03-17 05:45,2254.6573,1509.942,2.8712999
2015-03-17 06:00,2254.673,1509.9426,2.8630978
2015-03-17 06:15,2254.6657,1509.9403,2.8555494
2015-03-17 06:30,2254.6405,1509.938,2.8518469
2015-03-17 06:45,2254.5965,1509.935,2.8515782
2015-03-17 07:00,2254.5448,1509.9375,2.8490673
2015-03-17 07:15,2254.469,1509.9341,2.8473188
2015-03-17 07:30,2254.3812,1509.9316,2.847735
2015-03-17 07:45,2254.2826,1509.9296,2.8504737
2015-03-17 08:00,2254.1756,1509.9285,2.8485179
2015-03-17 08:15,2254.0652,1509.93,2.8444013
2015-03-17 08:30,2253.9481,1509.9305,2.8421941
2015-03-17 08:45,2253.8226,1509.9274,2.8487333
2015-03-17 09:00,2253.7025,1509.9284,2.8570451
2015-03-17 09:15,2253.5785,1509.9256,2.8612428
2015-03-17 09:30,2253.4634,1509.926,2.8591529
2015-03-17 09:45,2253.3515,1509.9244,2.8575319
2015-03-17 10:00,2253.254,1509.927,2.8594437
2015-03-17 10:15,2253.1715,1509.9327,2.8548799
2015-03-17 10:30,2253.0835,1509.9266,2.8530613
2015-03-17 10:45,2253.0185,1509.9269,2.8529845
2015-03-17 11:00,2252.967,1509.9261,2.8518942
2015-03-17 11:15,2252.9366,1509.9287,2.8536944
2015-03-17 11:30,2252.9209,1509.9297,2.8521725
2015-03-17 11:45,2252.9116,1509.9233,2.8476554
