time,30m Temp, 90m Temp, 350m Temp, 1000m Temp, 30m Density, 90m Density, 350m Density, 1000m Density, 30m Potential Density, 90m Potential Density, 350m Potential Density, 1000m Potential Density, Model Wind Speed, Model Air Temp
2015-04-05,3.7930796934998448,3.7956926930886525,3.764138635994768,3.682725875798096,1027.8617319479745,1028.1378205142425,1029.3659434308463,1032.4126527355284,1027.7499319504568,1027.734285540961,1027.7396347930066,1027.7450366714045,10.614031,1.0901794
2015-04-12,3.7155148244852683,3.713469744297803,3.688381779818631,3.6325558292959492,1027.8605602519942,1028.1354154342323,1029.3641170057138,1032.4090655083278,1027.7530456955024,1027.736431203371,1027.7413800851364,1027.743974864879,12.277487,0.095458984
2015-04-19,3.7285709077677684,3.7250728744396495,3.6448486321175464,3.546875090306127,1027.8748867310733,1028.1509468043569,1029.3811689496604,1032.4277017865072,1027.7484104896064,1027.732969162807,1027.7392272606676,1027.7426423684094,7.52459,2.3910522
2015-04-26,3.7165062366799426,3.6654483362979553,3.6328726682751915,3.5492837850469554,1027.8907454339496,1028.172018701459,1029.4003554974763,1032.4442081753493,1027.7477922426776,1027.7371714639812,1027.74177987014,1027.7431249531028,6.1609397,2.3350525
2015-05-03,4.145408271492303,3.9388176038615463,3.6847634924705495,3.6530870913888305,1027.8274151709466,1028.1188187988505,1029.3617687459341,1032.4091677330416,1027.7212428615408,1027.7212745087475,1027.7397841574684,1027.7451179984328,4.6904526,2.003662
2015-05-10,4.174112437788919,3.9197930114045754,3.7640882002907845,3.639675361611047,1027.7988384907123,1028.1223709206017,1029.3618841139257,1032.4125881699988,1027.6920491853473,1027.7242077458352,1027.7401661888068,1027.7476372172184,5.442558,3.739746
2015-05-17,4.381152018613147,4.239477157039055,3.7873137172161973,3.6116253956715525,1027.7717868219977,1028.101586606907,1029.3629088885773,1032.4121538626543,1027.6620777322928,1027.7012210545367,1027.7383165455199,1027.7435102888205,8.536455,3.5495605
2015-05-24,4.100014855065667,3.9791734940846157,3.61076796958232,3.5242564570595656,1027.8100027505727,1028.1011742169226,1029.3659038335682,1032.4173257079858,1027.7020460178715,1027.7020743071917,1027.7415826508168,1027.7484377075953,12.169585,3.8903198
2015-05-31,4.562801856609763,4.405420110997632,3.747840885596349,3.5772391842744478,1027.7841700434772,1028.0773948094384,1029.361869496966,1032.4193675254191,1027.6774244528744,1027.6797156058997,1027.7393876418296,1027.752112951664,10.088577,3.8867798
2015-06-07,4.7981054695088945,4.518448475185577,3.6844378643320668,3.492536901493428,1027.7565604497936,1028.064552684107,1029.360162189411,1032.4111259048263,1027.652991042862,1027.670237403098,1027.740554124627,1027.7445300377196,6.6441736,4.80719
2015-06-14,5.0934969628564675,4.54660048553601,3.786949850051162,3.578424388970287,1027.6916087634315,1028.0579009838516,1029.358390363896,1032.4103565619112,1027.586291430347,1027.661845221465,1027.7378213051288,1027.7443027875188,9.357371,5.2525635
2015-06-21,5.416078486971777,4.606094801841981,3.8848610648337703,3.6186927646171063,1027.6473640562917,1028.057791360482,1029.3540546606212,1032.4102635856814,1027.54256374671,1027.662706520499,1027.735029927536,1027.7460234770404,8.901579,5.187378
2015-06-28,5.610430425304014,4.525532108664054,3.858714116819924,3.56644513970582,1027.612949424402,1028.061698010466,1029.3561401599716,1032.4109755458235,1027.5073708536586,1027.6660326268538,1027.7361191905266,1027.7446984901676,11.955503,6.152069
2015-07-05,6.017743919020086,4.597293335681449,3.8477922710408556,3.595569831276618,1027.5852895069145,1028.0642461267732,1029.3669111637196,1032.420925265921,1027.469252670689,1027.6577885913068,1027.736177707267,1027.745585451828,9.332749,6.4019775
2015-07-12,6.219942214278051,4.58340231906645,3.855894678658425,3.5756051438680525,1027.5367726272548,1028.0660148387008,1029.3614679425973,1032.4164358634396,1027.4250728124925,1027.663674356185,1027.735166557856,1027.7440641005355,7.6875544,6.472107
2015-07-19,6.642694635619215,4.4191112520815015,3.7417565797237167,3.5690700401806987,1027.4600247221429,1028.0612976596399,1029.3576787573957,1032.4083696317164,1027.3564168700555,1027.6664500853933,1027.7381439350058,1027.7432490220283,4.7922707,6.9816284
2015-07-26,6.797191869581713,4.5216300677961785,3.7722531993682096,3.4988513504370466,1027.430059780522,1028.0421550618778,1029.3556851293765,1032.410679518222,1027.3267491406684,1027.6477645723864,1027.7364762492616,1027.7437170601775,3.462786,7.310913
2015-08-02,7.179268650258964,4.553412860152598,3.8065009463065875,3.5951313072949813,1027.3944738160199,1028.0583387943361,1029.3544006617635,1032.4073555444982,1027.2915705456533,1027.664325553799,1027.7359975971444,1027.7433587570806,4.1485777,7.694916
2015-08-09,7.714145237062935,4.561411582199327,3.824449030751553,3.5918245315161847,1027.3140268833458,1028.0548628361014,1029.353991358088,1032.4077451057356,1027.2131722605127,1027.6603847875376,1027.7353171732063,1027.7432336553782,5.3712263,8.104797
2015-08-16,8.003119153447475,4.630253484025528,3.795845752745429,3.5825678779629495,1027.2740253956265,1028.0494099618122,1029.357226382288,1032.4112888556067,1027.1682459181297,1027.652265277234,1027.7353062268103,1027.7440786514533,7.501774,9.257782
2015-08-23,7.795414014405981,4.6466938376064375,3.784333606530946,3.558477338256845,1027.317801922396,1028.0727959039957,1029.3725104749756,1032.4152893306643,1027.1908538814516,1027.6601714149028,1027.7342553659535,1027.743368457443,6.373677,8.536102
2015-08-30,8.33123083327342,5.031981450220095,4.007039408647905,3.6128448881512005,1027.2735698566196,1028.0733521472846,1029.3893292861899,1032.4193817742719,1027.1134392678987,1027.6314765913694,1027.7260493051006,1027.743620918425,8.352771,8.156006
2015-09-06,8.476687879914525,4.713646526916043,3.8509350229772408,3.5618615900008606,1027.2520335097208,1028.1115032527894,1029.4017371154862,1032.426725492781,1027.0875531027903,1027.6646762541197,1027.7325694712076,1027.7443646595398,8.178541,8.839447
2015-09-13,8.315641884543743,5.2821166379226465,4.082256952297009,3.615790098574524,1027.2992684296664,1028.0748473133087,1029.3815412942924,1032.4165376537455,1027.1440741680876,1027.6419159264003,1027.723645615685,1027.7433881712427,5.921004,7.902832
2015-09-20,8.382222956225654,4.924751669010709,3.905919601289048,3.600687524367384,1027.2363392148573,1028.0910506122686,1029.3937503831025,1032.4220722226032,1027.0758935405372,1027.6503744604738,1027.7294411475518,1027.7440176520909,8.059264,8.02124
2015-09-27,7.978794207251277,4.866116383573911,3.8960237376578353,3.569804504387348,1027.2811790069593,1028.103890247594,1029.38989902576,1032.4198803419913,1027.1251442997159,1027.666100852372,1027.729692272625,1027.7448840194088,7.4287157,6.9003906
2015-10-04,7.712402263330072,5.036689958862832,4.050855675283143,3.607870839670706,1027.362834838959,1028.0998215661,1029.3960312149588,1032.4311783930596,1027.194915122998,1027.6494248549557,1027.7248355202453,1027.7452689903578,8.956527,6.2080994
2015-10-11,7.0804303406486255,4.492764216873279,3.7461401223645576,3.49146744638002,1027.409528286132,1028.1167949120238,1029.3996137231998,1032.427755579622,1027.2481690698278,1027.6723707114693,1027.732702398573,1027.7454254181273,6.541442,5.2205505
2015-10-18,6.812334715108728,5.0040147958466745,3.9445560253886085,3.5091519535584643,1027.5023700677452,1028.1005686966707,1029.3947100687421,1032.4300321537303,1027.3375291243865,1027.65645542961,1027.7267824705702,1027.7445264698958,10.062986,6.1244507
2015-10-25,6.762771274001993,5.592471982807591,4.130442697624433,3.59642318294569,1027.5345353288806,1028.0617540667422,1029.37695414169,1032.4165997782218,1027.3808183364004,1027.6285719687507,1027.7218811124792,1027.744259309196,8.561693,3.3417969
2015-11-01,6.369708572170147,5.151772609204891,3.945580420812744,3.622435907634126,1027.5414793837913,1028.0489547992188,1029.3855154945686,1032.4162870285359,1027.387601300761,1027.6150458066952,1027.728582304673,1027.7445094535112,8.536328,4.2036743
2015-11-08,5.950589725123917,5.271443964443806,4.057258653690036,3.605093306015298,1027.5967635354127,1028.053260218442,1029.3793509268623,1032.4154701188854,1027.4437748817732,1027.620342313659,1027.724508849385,1027.7440400132475,12.102091,3.6667175
2015-11-15,5.608710977209858,5.336812651395331,3.9675486267817903,3.5986018932427006,1027.650397595375,1028.052020493774,1029.3825695082555,1032.4168375994411,1027.4966145838437,1027.6182056657203,1027.7263495691807,1027.744520297605,8.498878,3.039032
2015-11-22,5.3432180501219655,5.354328102227059,4.273074431018767,3.667722563668154,1027.7237865805805,1028.0180589312793,1029.3700560770662,1032.416157411568,1027.568590401653,1027.5827857751797,1027.7154941483375,1027.7446777707282,11.862432,3.1403809
2015-11-29,4.935177183179811,4.947043002735019,4.2515174893889665,3.6352305043956776,1027.7696493856856,1028.0577310720848,1029.3676126384564,1032.415548786359,1027.61612098277,1027.623465537605,1027.714811778944,1027.7446829681166,14.683272,2.2259216
2015-12-06,4.5317603270040046,4.540218496923996,4.095868310715612,3.544132065682925,1027.8379393539176,1028.1252664678552,1029.3745221571728,1032.4210462564815,1027.682068214538,1027.6880274268235,1027.7183605971393,1027.7453962061143,13.869863,-1.5147095
2015-12-13,4.517932172190971,4.494806398209387,4.111249512384268,3.517567965585112,1027.8600659166066,1028.1484560550664,1029.376898431364,1032.4234343485373,1027.7034144444635,1027.710275258318,1027.719712534636,1027.7459254127873,9.127474,0.9477539
2015-12-20,4.255048177280145,4.250822921211546,3.9555768318083557,3.43885598595135,1027.8541082091297,1028.15225930234,1029.381949835333,1032.4242566522712,1027.6976808896206,1027.7138981247058,1027.7237778311157,1027.744987886503,8.052106,2.6557617
2015-12-27,4.291115277918353,4.282667062428523,3.9594337911786153,3.441356697094087,1027.8827188982837,1028.171129054941,1029.4041527097563,1032.4493855469534,1027.7003346298213,1027.7069967266586,1027.719861257402,1027.7450238156082,10.918154,1.2768555
2016-01-03,4.062670608193356,4.065494226816524,3.898667960783194,3.4111139820918503,1027.875642047152,1028.1638911511077,1029.388120477028,1032.4299409044831,1027.714592762445,1027.7206958217525,1027.7246652063054,1027.7454923701473,10.945836,-0.44070435
2016-01-10,3.8888413337949572,3.889966309557571,3.8233794111579686,3.395770744529089,1027.8800176446575,1028.1684332827076,1029.38966009368,1032.4250267993116,1027.7240220234944,1027.730097603413,1027.73071806371,1027.7449938721109,12.501244,2.0688782
2016-01-17,3.7922961140069513,3.791843609797618,3.73963326054977,3.4137159692536607,1027.8954504593896,1028.1842908917822,1029.4058519998373,1032.435695010861,1027.728247710545,1027.7346407473608,1027.73487885435,1027.7452685145672,9.798806,2.1515808
2016-01-24,3.8791220332423575,3.8585871670026894,3.7709375317026366,3.3927388490877384,1027.8716699395477,1028.1631044586888,1029.38923595345,1032.4217081729253,1027.7208299582578,1027.729736601696,1027.7346568917524,1027.7459439298455,9.562913,3.1316528
2016-01-31,4.031046279371114,4.035858025256574,3.9740518945846928,3.5559301005382595,1027.879087405516,1028.1670076542214,1029.387506541284,1032.4201212842195,1027.7247236319022,1027.730408028864,1027.731330786459,1027.7454988717532,13.179155,-2.8999634
2016-02-07,3.8850273286220145,3.888575790661685,3.897801357798115,3.5732317132059834,1027.8866342897043,1028.174669728483,1029.3933529666433,1032.4183817939459,1027.7337675834394,1027.7395737936727,1027.7381957935509,1027.7458164320742,12.147188,0.98080444
2016-02-14,3.7403394924945093,3.7371969862865493,3.7153293568794807,3.4427170797202558,1027.9056119138995,1028.194506304954,1029.416054409875,1032.4381317683772,1027.734995111426,1027.741200219363,1027.7415458296261,1027.7453077325194,10.817247,2.7784424
2016-02-21,3.814274926717038,3.8141245138302597,3.7416103262499085,3.4952841772087404,1027.9066964072285,1028.1949455962483,1029.4167883924767,1032.439217029436,1027.7346530084392,1027.7405069719694,1027.7411190416744,1027.7463595398117,16.775726,0.18734741
