time,Endurance Salinity,Endurance Air Temp,Endurance SST,Endurance Rain,Pioneer Salinity,Pioneer Air Temp,Pioneer SST,Pioneer Rain,Irminger Salinity,Irminger Air Temp,Irminger SST,Irminger Rain
2015-01-24,,,,,,,,,34.92518987,-0.167727,4.167268,4.2818413
2015-01-25,,,,,,,,,34.93242125,0.82844007,4.1893563,4.909096
2015-01-26,,,,,,,,,34.94735737,3.067,4.429984,4.1611786
2015-01-27,,,,,,,,,34.94056685,-0.9061296,4.3175964,4.177498
2015-01-28,,,,,,,,,34.94471587,-3.4454472,4.3189826,3.3601952
2015-01-29,,,,,,,,,34.94832087,0.047964703,4.2809114,4.210392
2015-01-30,,,,,,,,,34.94992283,1.9510204,4.362516,4.516426
2015-01-31,,,,,,,,,34.94405447,1.5520492,4.349869,3.8376083
2015-02-01,,,,,,,,,34.91539656,2.6232004,3.9765153,3.7294807
2015-02-02,,,,,,,,,34.94280918,4.151136,4.3352737,4.297497
2015-02-03,,,,,,,,,34.95545126,2.7329156,4.523911,3.780178
2015-02-04,,,,,,,,,34.95248464,2.925788,4.466931,4.670891
2015-02-05,,,,,,,,,34.95157968,0.45639592,4.439646,4.1875763
2015-02-06,,,,,,,,,34.92042145,0.121215865,4.0737996,3.6811562
2015-02-07,,,,,,,,,34.91486974,4.161775,4.252893,3.2179832
2015-02-08,,,,,,,,,34.88155412,1.3579626,4.6520324,3.589943
2015-02-09,,,,,,,,,34.8967494,-3.3814125,4.496496,3.8817062
2015-02-10,,,,,,,,,34.9307118,-3.618479,4.3231072,4.1637497
2015-02-11,,,,,,,,,34.93431931,-2.1600688,4.228774,4.2439766
2015-02-12,,,,,,,,,34.93620132,-0.39849162,4.292982,4.033554
2015-02-13,,,,,,,,,34.92943419,-3.0903242,4.312742,3.8166962
2015-02-14,,,,,,,,,34.89182754,-1.7029414,4.4776397,3.5726318
2015-02-15,,,,,,,,,34.90366448,-3.6900334,4.508342,5.2926865
2015-02-16,,,,,,,,,34.92044492,-4.709896,4.51974,1.1981888
2015-02-17,,,,,,,,,,,,
2015-02-18,,,,,,,,,,,,
2015-02-19,,,,,,,,,,,,
2015-02-20,,,,,,,,,,,,
2015-02-21,,,,,,,,,,,,
2015-02-22,,,,,,,,,,,,
2015-02-23,,,,,,,,,,,,
2015-02-24,,,,,,,,,,,,
2015-02-25,,,,,,,,,,,,
