time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-03-11T08:05:10.970Z,40.6903333,-125.1853333,10.884,2.9,md,38,280,0.6802,0.21,nc,nc72182771,2017-02-03T09:29:31.976Z,"78km W of Ferndale, California",earthquake,5.46,6.27,0.156,35,reviewed,nc,nc
2014-03-11T03:46:32.540Z,40.8236667,-125.1023333,24.474,2.88,md,26,270,0.6775,0.26,nc,nc72182691,2017-02-03T09:27:34.217Z,"75km WNW of Ferndale, California",earthquake,1.07,20.66,0.22,45,reviewed,nc,nc
2014-03-11T01:55:55.640Z,40.6721667,-125.3588333,24.289,2.81,md,24,263,0.8018,0.21,nc,nc72182671,2017-02-03T09:27:09.721Z,"93km W of Ferndale, California",earthquake,1.56,31.61,0.218,34,reviewed,nc,nc
2014-03-11T01:55:03.610Z,40.6376667,-125.1258333,13.184,2.52,md,23,301,0.6216,0.15,nc,nc72182666,2017-02-03T09:27:04.537Z,"73km W of Ferndale, California",earthquake,7.79,9.28,0.247,29,reviewed,nc,nc
2014-03-11T00:14:29.450Z,40.5466667,-125.2965,17.752,2.78,md,24,303,0.7342,0.17,nc,nc72182661,2017-02-03T09:26:58.787Z,"87km W of Ferndale, California",earthquake,5.64,7.85,0.185,35,reviewed,nc,nc
2014-03-11T00:13:08.410Z,40.7936667,-125.1561667,23.364,2.91,md,40,242,0.6991,0.28,nc,nc72182656,2017-02-03T09:26:53.443Z,"79km WNW of Ferndale, California",earthquake,1.71,11.69,0.156,32,reviewed,nc,nc
2014-03-10T20:54:58.300Z,40.506,-125.2348333,4.604,2.73,md,17,310,0.6847,0.26,nc,nc72182586,2017-02-03T09:25:50.735Z,"82km W of Ferndale, California",earthquake,12.82,10.97,0.196,18,reviewed,nc,nc
2014-03-10T19:44:56.050Z,40.5921667,-125.3665,23.569,2.91,md,24,279,0.7919,0.25,nc,nc72182551,2017-02-03T09:25:25.572Z,"93km W of Ferndale, California",earthquake,3.2,15.54,0.165,36,reviewed,nc,nc
2014-03-10T18:59:48.110Z,40.5818333,-125.3621667,22.392,2.9,md,24,287,0.7874,0.21,nc,nc72182546,2017-02-03T09:25:19.552Z,"92km W of Ferndale, California",earthquake,5.22,13.85,0.161,27,reviewed,nc,nc
2014-03-10T16:44:45.690Z,40.753,-125.189,24.314,2.84,md,26,256,0.7045,0.23,nc,nc72182511,2017-02-03T09:24:43.040Z,"80km WNW of Ferndale, California",earthquake,1.07,17.07,0.235,31,reviewed,nc,nc
2014-03-10T16:37:14.440Z,40.3095,-124.6801667,18.615,1.93,md,16,265,0.3027,0.19,nc,nc72182501,2017-02-03T09:24:31.585Z,"46km SW of Ferndale, California",earthquake,0.79,0.62,0.064,5,reviewed,nc,nc
2014-03-10T15:44:03.620Z,40.6586667,-125.3021667,23.372,2.94,md,14,300,0.7568,0.19,nc,nc72182466,2017-02-03T09:23:46.946Z,"88km W of Ferndale, California",earthquake,3.42,15.8,0.164,24,reviewed,nc,nc
2014-03-10T15:16:29.320Z,40.4483333,-124.8753333,7.434,3.65,mw,79,244,0.4108,0.26,nc,nc72182456,2017-02-03T09:23:35.350Z,"53km WSW of Ferndale, California",earthquake,0.59,0.96,,4,reviewed,nc,nc
2014-03-10T15:00:14.800Z,40.4866667,-125.154,-0.366,2.98,md,42,279,0.6225,0.17,nc,nc72182446,2017-02-03T09:23:17.906Z,"76km W of Ferndale, California",earthquake,1.18,0.69,0.171,32,reviewed,nc,nc
2014-03-10T14:42:56.290Z,40.6568333,-125.3245,22.802,2.98,ml,44,265,0.773,0.19,nc,nc72182421,2017-02-03T09:22:55.432Z,"90km W of Ferndale, California",earthquake,2.66,10.06,0.195,11,reviewed,nc,nc
2014-03-10T13:58:40.700Z,40.6855,-125.2918333,22.152,3.28,ml,44,247,0.7559,0.24,nc,nc72182391,2017-02-03T09:22:07.404Z,"87km W of Ferndale, California",earthquake,1.94,6.08,0.114,14,reviewed,nc,nc
2014-03-10T13:06:52.670Z,40.543,-125.081,4.543,2.61,md,27,268,0.6468,0.21,nc,nc72182366,2017-02-03T09:21:45.745Z,"69km W of Ferndale, California",earthquake,1.34,0.95,0.147,33,reviewed,nc,nc
2014-03-10T12:42:29.090Z,40.5153333,-125.044,1.093,2.39,md,11,319,0.6108,0.07,nc,nc71080849,2017-02-03T09:21:27.902Z,"66km W of Ferndale, California",earthquake,1.95,0.54,0.3,8,reviewed,nc,nc
2014-03-10T12:41:35.510Z,40.6186667,-125.388,24.656,2.8,md,19,280,0.8919,0.23,nc,nc71080754,2017-02-03T09:21:22.563Z,"95km W of Ferndale, California",earthquake,3.8,18.48,0.087,12,reviewed,nc,nc
2014-03-10T12:41:01.110Z,40.6013333,-125.3248333,23.842,3.05,ml,40,264,0.8414,0.34,nc,nc72182356,2017-02-03T09:21:17.434Z,"89km W of Ferndale, California",earthquake,2.36,19.61,0.153,10,reviewed,nc,nc
2014-03-10T11:09:10.500Z,40.7023333,-124.8165,5.824,2.4,md,32,264,0.5559,0.27,nc,nc72182326,2017-02-03T09:20:51.674Z,"48km WNW of Ferndale, California",earthquake,0.77,1.08,0.223,27,reviewed,nc,nc
2014-03-10T10:46:22.570Z,40.6611667,-125.298,21.532,3.46,mw,73,238,0.8441,0.14,nc,nc72182311,2017-02-03T09:20:21.240Z,"88km W of Ferndale, California",earthquake,1.09,3.87,,3,reviewed,nc,nc
2014-03-10T10:28:18.520Z,40.7778333,-125.1915,18.883,4.47,mw,89,231,0.8279,0.21,nc,nc72182306,2017-03-17T23:10:29.585Z,"81km WNW of Ferndale, California",earthquake,0.97,2.71,,4,reviewed,nc,nc
2014-03-10T10:23:35.910Z,40.5091667,-125.1081667,0.413,2.29,md,14,291,0.6559,0.14,nc,nc72182301,2017-02-03T09:19:49.673Z,"71km W of Ferndale, California",earthquake,2.03,1.06,0.119,13,reviewed,nc,nc
