Date,ID Depth,EC Depth,CC Depth
4/23/15 12:30,1512.6243,1501.3254,1509.8103
4/23/15 12:45,1512.6308,1501.3327,1509.8131
4/23/15 13:00,1512.6291,1501.3303,1509.8105
4/23/15 13:15,1512.6209,1501.3241,1509.8051
4/23/15 13:30,1512.6193,1501.3229,1509.803
4/23/15 13:45,1512.6151,1501.3247,1509.8038
4/23/15 14:00,1512.6178,1501.3198,1509.7998
4/23/15 14:15,1512.6141,1501.3187,1509.8034
4/23/15 14:30,1512.6122,1501.3187,1509.7983
4/23/15 14:45,1512.6136,1501.3209,1509.7989
4/23/15 15:00,1512.6158,1501.3221,1509.8003
4/23/15 15:15,1512.6166,1501.3246,1509.8028
4/23/15 15:30,1512.6152,1501.3246,1509.8071
4/23/15 15:45,1512.617,1501.3267,1509.8071
4/23/15 16:00,1512.6203,1501.3281,1509.8102
4/23/15 16:15,1512.622,1501.3289,1509.8124
4/23/15 16:30,1512.6183,1501.3268,1509.8087
4/23/15 16:45,1512.6186,1501.3278,1509.8121
4/23/15 17:00,1512.6213,1501.3299,1509.8073
4/23/15 17:15,1512.6226,1501.3311,1509.8114
4/23/15 17:30,1512.6238,1501.3323,1509.8119
4/23/15 17:45,1512.627,1501.3327,1509.808
4/23/15 18:00,1512.6256,1501.3332,1509.8108
4/23/15 18:15,1512.6283,1501.3304,1509.8103
4/23/15 18:30,1512.6287,1501.3278,1509.8096
4/23/15 18:45,1512.6335,1501.3359,1509.8142
4/23/15 19:00,1512.6364,1501.3383,1509.8177
4/23/15 19:15,1512.6341,1501.3412,1509.821
4/23/15 19:30,1512.6342,1501.337,1509.8193
4/23/15 19:45,1512.6334,1501.34,1509.8203
4/23/15 20:00,1512.6299,1501.3357,1509.8218
4/23/15 20:15,1512.6313,1501.3359,1509.8196
4/23/15 20:30,1512.6302,1501.3315,1509.8168
4/23/15 20:45,1512.63,1501.3311,1509.8164
4/23/15 21:00,1512.6319,1501.3322,1509.817
4/23/15 21:15,1512.6301,1501.3286,1509.8139
4/23/15 21:30,1512.6314,1501.3306,1509.8122
4/23/15 21:45,1512.6336,1501.3293,1509.8097
4/23/15 22:00,1512.6307,1501.3294,1509.8111
4/23/15 22:15,1512.6337,1501.3303,1509.8123
4/23/15 22:30,1512.6358,1501.331,1509.8117
4/23/15 22:45,,1501.3353,1509.8118
4/23/15 23:00,,1501.3383,1509.8115
4/23/15 23:15,,1501.3355,1509.813
4/23/15 23:30,,1501.3326,1509.8126
4/23/15 23:45,,1501.332,1509.8113
4/24/15 0:00,,1501.3298,1509.8094
4/24/15 0:15,,1501.3321,1509.8108
4/24/15 0:30,,1501.3315,1509.8104
4/24/15 0:45,,1501.333,1509.8104
4/24/15 1:00,,1501.3314,1509.8088
4/24/15 1:15,,1501.3292,1509.8074
