time,latitude,longitude,depth,mag
2015-04-23T18:05:38Z,45.9576,-129.99823,1.804,0.8
2015-04-23T18:05:55Z,45.9633,-129.99312,1.692,1.2
2015-04-23T18:06:24Z,45.97315,-129.9968,1.155,1.2
2015-04-23T18:06:36Z,45.97138,-130.00039,2.192,1.5
2015-04-23T18:07:10Z,45.99214,-130.00821,0.514,1.2
2015-04-23T18:12:21Z,45.93937,-129.97747,1.552,0.8
2015-04-23T18:12:36Z,45.99426,-130.03,1.221,1.1
2015-04-23T18:15:05Z,45.95665,-129.99079,0.982,0.6
2015-04-23T18:17:42Z,45.95888,-129.98958,0.481,0.4
2015-04-23T18:18:10Z,45.93984,-129.9764,1.637,0.2
2015-04-23T18:19:18Z,45.96083,-129.99403,1.666,0.8
2015-04-23T18:21:03Z,45.95547,-129.99089,1.196,0.8
2015-04-23T18:21:21Z,45.96502,-129.99379,1.333,0.7
2015-04-23T18:22:09Z,45.96921,-129.99004,1.528,0.9
2015-04-23T18:22:54Z,46.01711,-130.03515,1.198,1.3
2015-04-23T18:24:26Z,45.96191,-129.99299,1.222,0.9
2015-04-23T18:24:45Z,45.93749,-129.97958,0.881,0.1
2015-04-23T18:24:52Z,45.96244,-129.99432,1.837,1.4
2015-04-23T18:25:25Z,45.99711,-130.03152,0.688,1.1
2015-04-23T18:25:29Z,45.98479,-130.00038,0.203,1.3
2015-04-23T18:26:03Z,45.98627,-130.03889,1.21,1.3
2015-04-23T18:27:47Z,45.99738,-130.03677,3.66,1.1
2015-04-23T18:28:47Z,45.96339,-129.99354,1.575,0.7
2015-04-23T18:30:39Z,45.9494,-129.99272,1.853,0.5
2015-04-23T18:30:47Z,45.94897,-129.99257,1.567,0.4
2015-04-23T18:31:22Z,46.00018,-130.00833,0.75,1.1
2015-04-23T18:33:09Z,45.95331,-129.97787,1.399,0.6
2015-04-23T18:41:00Z,45.96219,-129.9938,1.237,0.8
2015-04-23T18:43:04Z,45.97028,-129.99287,2.367,0.7
2015-04-23T18:43:40Z,45.9689,-129.99266,1.74,1.4
2015-04-23T18:44:04Z,45.99029,-130.02207,1.005,1
2015-04-23T18:45:28Z,45.93814,-129.9761,1.381,1
2015-04-23T18:46:01Z,45.93769,-129.98107,0.491,0.4
2015-04-23T18:46:33Z,45.95871,-129.99614,1.077,0.4
2015-04-23T18:47:44Z,46.01118,-130.01757,0.939,1.9
2015-04-23T18:50:22Z,45.95508,-129.98812,1.628,0.4
2015-04-23T18:51:04Z,46.00276,-130.0345,3.573,1.1
2015-04-23T18:54:39Z,45.98893,-130.00553,3.238,1.7
2015-04-23T18:57:13Z,45.98435,-130.00525,1.057,1.4
2015-04-23T18:57:47Z,45.98415,-130.03563,0.893,1.4
2015-04-23T18:58:35Z,45.96171,-129.99936,2.219,0.7
2015-04-23T18:59:17Z,45.9753,-130.00564,2.169,0.7
2015-04-23T19:02:46Z,45.97907,-129.99134,2.372,0.4
2015-04-23T19:05:26Z,45.95094,-129.97967,1.466,0.3
2015-04-23T19:06:41Z,45.99338,-130.00234,0.648,0.8
2015-04-23T19:07:27Z,45.93885,-129.97775,1.341,0
2015-04-23T19:09:38Z,46.02767,-129.96225,0.647,0.9
2015-04-23T19:10:10Z,45.99108,-130.03646,0.464,0.7
2015-04-23T19:10:14Z,45.99359,-130.01741,3.433,0.7
2015-04-23T19:14:41Z,45.96196,-129.99351,1.515,1
2015-04-23T19:16:19Z,45.98133,-129.99867,1.089,0.8
2015-04-23T19:21:15Z,46.03193,-129.96954,0.886,0.9
2015-04-23T19:27:07Z,45.96739,-129.99204,1.561,0.7
2015-04-23T19:32:16Z,45.96886,-129.99331,1.647,0.6
2015-04-23T19:34:12Z,45.9641,-129.99609,0.794,0.2
2015-04-23T19:34:58Z,45.99393,-130.03227,2.05,0.8
2015-04-23T19:38:38Z,45.96057,-129.99499,1.911,1.6
2015-04-23T19:39:50Z,45.99372,-130.03071,1.248,0.6
2015-04-23T19:47:07Z,45.9667,-129.99425,1.643,0.5
2015-04-23T19:48:47Z,46.00045,-129.99977,1.239,0.4
2015-04-23T19:49:05Z,45.94251,-130.01905,1.334,0.4
2015-04-23T19:54:47Z,45.9559,-129.99116,1.35,0.4
2015-04-23T19:56:17Z,46.00303,-130.00269,1.124,0.6
2015-04-23T19:57:04Z,45.95137,-129.99597,0.419,0.9
2015-04-23T19:58:17Z,45.97635,-129.99814,0.893,1.1
2015-04-23T20:00:21Z,45.98331,-130.0152,2.408,1
2015-04-23T20:00:30Z,45.98465,-130.01331,1.884,1.4
2015-04-23T20:01:01Z,45.94484,-129.99115,0.228,1
2015-04-23T20:05:30Z,45.95773,-129.99321,1.835,1.6
2015-04-23T20:05:51Z,45.958,-129.99165,1.447,0.9
2015-04-23T20:06:32Z,45.95668,-129.99281,1.453,0.6
2015-04-23T20:06:42Z,45.96254,-129.99185,1.574,0.5
2015-04-23T20:07:27Z,45.95956,-129.99075,1.482,0.3
2015-04-23T20:07:56Z,45.9576,-130.00036,0.793,1.1
2015-04-23T20:09:42Z,45.95959,-129.99089,1.318,0.3
2015-04-23T20:09:52Z,46.01556,-129.97625,0.554,1.1
2015-04-23T20:12:45Z,45.95846,-129.9893,1.569,0.6
2015-04-23T20:13:34Z,45.96912,-129.99524,1.634,0.3
2015-04-23T20:14:11Z,45.96893,-130.00231,0.054,0.7
2015-04-23T20:14:32Z,45.99646,-130.00613,1.486,1.1
2015-04-23T20:14:45Z,45.95781,-129.98966,1.581,0.6
2015-04-23T20:15:19Z,46.01171,-130.01996,1,0.8
2015-04-23T20:15:58Z,45.96032,-129.99495,1.788,1.8
2015-04-23T20:16:27Z,45.95148,-129.99467,0.639,1.2
2015-04-23T20:18:15Z,45.9644,-129.98884,1.147,0.3
2015-04-23T20:19:20Z,45.9511,-129.9964,0.517,0.2
2015-04-23T20:19:35Z,45.9575,-129.99344,1.579,0.9
2015-04-23T20:22:24Z,45.95608,-129.99238,1.37,0.6
2015-04-23T20:25:10Z,45.99283,-130.01036,0.605,0.7
2015-04-23T20:28:32Z,45.94732,-130.01699,0.616,0.2
2015-04-23T20:29:30Z,45.95635,-129.99424,1.495,0
2015-04-23T20:29:44Z,46.00583,-130.00817,1.382,0.8
2015-04-23T20:30:34Z,45.95485,-129.99353,1.434,1.3
2015-04-23T20:31:12Z,45.96347,-129.99115,1.709,0.6
2015-04-23T20:32:27Z,45.95527,-129.99226,1.293,0.1
2015-04-23T20:34:11Z,45.95716,-129.99326,1.427,0.8
2015-04-23T20:34:35Z,45.95845,-129.99318,1.723,1.3
2015-04-23T20:36:30Z,45.958,-129.99488,1.187,0.4
2015-04-23T20:36:30Z,45.9579,-129.99488,1.168,0.4
2015-04-23T20:37:01Z,45.95311,-129.99344,0.898,0.5
2015-04-23T20:37:18Z,45.95479,-129.99435,1.141,0.8
2015-04-23T20:37:45Z,45.96488,-129.99606,2.083,1.2
2015-04-23T20:40:21Z,45.96731,-129.99336,1.707,1
2015-04-23T20:42:04Z,45.94277,-130.0201,1.152,0.3
2015-04-23T20:44:24Z,45.94124,-129.98048,1.377,0.3
2015-04-23T20:44:39Z,45.95183,-129.9945,0.609,0.1
2015-04-23T20:47:42Z,45.95993,-129.99481,1.489,0.6
2015-04-23T20:51:00Z,45.98386,-130.00271,2.518,1.2
2015-04-23T20:52:16Z,45.95623,-129.99367,1.218,1.2
2015-04-23T20:52:40Z,45.95334,-129.9945,0.674,1.2
2015-04-23T20:52:55Z,45.95529,-129.99483,1.751,0.5
2015-04-23T20:53:51Z,45.95651,-129.99503,1.784,0.3
2015-04-23T21:01:48Z,45.95357,-129.99101,1.256,0.4
2015-04-23T21:02:57Z,45.96803,-129.99105,1.413,0.5
2015-04-23T21:04:42Z,45.96858,-129.99155,1.962,0.8
2015-04-23T21:07:33Z,45.96074,-129.99354,1.313,0.4
2015-04-23T21:07:38Z,45.95031,-129.98671,0.525,0.5
2015-04-23T21:11:04Z,45.95027,-129.98315,1.202,0.5
2015-04-23T21:15:14Z,45.92914,-129.99245,0.818,0.3
2015-04-23T21:16:40Z,45.95556,-129.9939,1.219,0.4
2015-04-23T21:18:05Z,45.96025,-129.99245,1.994,0.3
2015-04-23T21:25:45Z,45.95499,-129.99249,1.074,0.2
2015-04-23T21:30:49Z,45.94696,-129.97709,0.17,0.1
2015-04-23T21:53:16Z,45.99933,-130.00946,1.046,0.9
2015-04-23T21:53:38Z,45.97771,-130.00803,3.044,0.7
2015-04-23T21:55:36Z,45.96691,-129.99318,1.607,0.4
2015-04-23T21:59:57Z,45.98862,-130.00765,3.463,0.5
2015-04-23T22:05:09Z,45.95865,-129.98979,1.395,0.4
2015-04-23T22:06:11Z,45.95604,-129.99253,0.719,0.2
2015-04-23T22:23:17Z,45.95982,-129.99516,1.464,0.4
2015-04-23T22:23:47Z,45.9621,-129.99271,1.147,0.4
2015-04-23T22:24:16Z,45.9566,-129.99106,1.573,0.6
2015-04-23T22:39:19Z,45.96045,-129.99429,1.69,0.3
2015-04-23T22:39:30Z,45.96105,-129.99517,1.748,1.1
2015-04-23T22:39:33Z,45.95647,-129.99684,0.872,1.8
2015-04-23T22:39:58Z,45.96342,-129.99499,1.561,1
2015-04-23T22:40:58Z,45.96024,-129.99611,1.446,0.4
2015-04-23T23:02:19Z,45.98742,-130.03073,0.957,1.1
2015-04-23T23:03:56Z,45.94124,-130.0226,1.438,0.4
2015-04-23T23:05:28Z,45.95068,-129.98174,1.323,0
2015-04-23T23:06:46Z,45.95453,-129.99076,1.275,0.2
2015-04-23T23:29:24Z,45.94771,-129.98137,1.223,0.2
2015-04-23T23:29:26Z,45.95111,-129.99051,0.884,0.2
2015-04-23T23:30:09Z,45.95638,-129.98386,1.666,0
2015-04-23T23:39:54Z,45.96166,-129.99338,1.936,0.6
2015-04-23T23:43:47Z,45.95547,-129.9928,1.238,0.5
2015-04-24T00:00:23Z,45.9625,-129.99545,1.837,1.1
