Date,ID Temperature,EC Temperature,CC Temperature
1/26/15 4:00,3.2388999,3.3337581,2.8795295
1/26/15 5:00,3.2380208,3.3253118,2.8937879
1/26/15 6:00,3.2345345,3.3331035,2.9026118
1/26/15 7:00,3.2197628,3.3352609,2.8783913
1/26/15 8:00,3.2326148,3.3391379,2.8791745
1/26/15 9:00,3.2356443,3.3511259,2.8760551
1/26/15 10:00,3.2342182,3.3611524,2.873537
1/26/15 11:00,3.2477326,3.3679823,2.8749454
1/26/15 12:00,3.2436748,3.3471355,2.869816
1/26/15 13:00,3.2318153,3.3568563,2.8655895
1/26/15 14:00,3.219671,3.3691418,2.8539091
1/26/15 15:00,3.2224813,3.338512,2.8570398
1/26/15 16:00,3.2283422,3.3424938,2.8663207
1/26/15 17:00,3.2354186,3.3370974,2.8735068
1/26/15 18:00,3.2447819,3.3333588,2.8673964
1/26/15 19:00,3.2537581,3.33638,2.8693766
1/26/15 20:00,3.2693655,3.3327788,2.874784
1/26/15 21:00,3.2332371,3.3403106,2.8783718
1/26/15 22:00,3.2690956,3.3590721,2.8791131
1/26/15 23:00,3.2661036,3.3765683,2.8725216
1/27/15 0:00,3.2729845,3.3681499,2.8676067
1/27/15 1:00,3.2645216,3.3697864,2.8696229
1/27/15 2:00,3.2555571,3.3504544,2.8669947
1/27/15 3:00,3.2454643,3.3455944,2.873492
1/27/15 4:00,3.2369382,3.3476554,2.8802389
1/27/15 5:00,3.2321695,3.3492652,2.8678513
1/27/15 6:00,3.2394453,3.3647478,2.8760752
1/27/15 7:00,3.2449622,3.3887885,2.8732315
1/27/15 8:00,3.2583041,3.3693648,2.8825335
1/27/15 9:00,3.2543311,3.3590577,2.8706408
1/27/15 10:00,3.2462952,3.3793532,2.8834674
1/27/15 11:00,3.2463645,3.3911205,2.8691047
1/27/15 12:00,3.2752424,3.3913245,2.879617
1/27/15 13:00,3.2494935,3.4217398,2.8721937
1/27/15 14:00,3.2599937,3.398489,2.8760661
1/27/15 15:00,3.2751224,3.3850048,2.8827591
1/27/15 16:00,3.2569423,3.3881902,2.8987409
1/27/15 17:00,3.2683784,3.3966016,2.8887514
1/27/15 18:00,3.2509469,3.3956097,2.9205741
1/27/15 19:00,3.2638042,3.3879534,2.8855131
1/27/15 20:00,3.2634013,3.3867999,2.9093193
1/27/15 21:00,3.2622724,3.4116797,2.8972247
1/27/15 22:00,3.2632557,3.3687627,2.8851642
1/27/15 23:00,3.2650674,3.3655698,2.8940574
1/28/15 0:00,3.2732803,3.3614709,2.8925706
1/28/15 1:00,3.2894791,3.3695777,2.8992545
1/28/15 2:00,3.2999239,3.3888892,2.8785105
1/28/15 3:00,3.292709,3.373431,2.9008832
1/28/15 4:00,3.2677967,3.3973683,2.9184938
1/28/15 5:00,3.27997,3.3774308,2.8807407
1/28/15 6:00,3.2877732,3.3653103,2.8726243
1/28/15 7:00,3.2909376,3.372446,2.889871
1/28/15 8:00,3.2786293,3.3801012,2.8842549
1/28/15 9:00,3.2785335,3.3819735,2.8808816
1/28/15 10:00,3.2767855,3.3962278,2.8781045
1/28/15 11:00,3.2773332,3.4317185,2.888025
1/28/15 12:00,3.2939629,3.4078137,2.9043255
1/28/15 13:00,3.2665851,3.4373439,2.9087137
1/28/15 14:00,3.2923871,3.4083273,2.8848803
1/28/15 15:00,3.2697119,3.3848637,2.8578913
1/28/15 16:00,3.2715749,3.3996531,2.8499223
1/28/15 17:00,3.2818875,3.3831077,2.8561849
1/28/15 18:00,3.2692885,3.3833522,2.861095
1/28/15 19:00,3.2862936,3.3840917,2.8757021
1/28/15 20:00,3.2790559,3.3811646,2.870034
1/28/15 21:00,3.2909287,3.3854984,2.8708924
1/28/15 22:00,3.291304,3.4021068,2.872653
1/28/15 23:00,3.2929102,3.4036447,2.8744947
1/29/15 0:00,3.2950434,3.389008,2.8686929
1/29/15 1:00,3.29366,3.3908178,2.8638459
1/29/15 2:00,3.305068,3.3552771,2.8662162
1/29/15 3:00,3.3172082,3.3393915,2.8668914
1/29/15 4:00,3.299969,3.3485635,2.8676508
1/29/15 5:00,3.292982,3.3364876,2.8661269
1/29/15 6:00,3.2779588,3.347219,2.8665936
1/29/15 7:00,3.2890457,3.3671213,2.8650123
1/29/15 8:00,3.2949885,3.3636642,2.8674938
1/29/15 9:00,3.2945614,3.3557841,2.869697
1/29/15 10:00,3.288786,3.3640756,2.8713326
1/29/15 11:00,3.2762788,3.3777135,2.8802609
1/29/15 12:00,3.2833588,3.3847532,2.8924988
1/29/15 13:00,3.2887656,3.3633157,2.898684
1/29/15 14:00,3.273036,3.3621167,2.8798577
1/29/15 15:00,3.2895968,3.362199,2.8862891
1/29/15 16:00,3.280389,3.3649708,2.8733895
1/29/15 17:00,3.2800281,3.3635652,2.8647956
1/29/15 18:00,3.2682545,3.3697209,2.8716194
1/29/15 19:00,3.2827908,3.3697592,2.883765
